,,,Sharing out HC, Full-time ,13.2933121349378,15.973038865468,13.9754058269017,12.9770003062101,15.7217107623714,14.1816095861307,12.8983022697167,12.3490920232018,10.2655112185946,9.85258416160159,14.4370076919519,14.8868632849032,,,,,,Sharing out HC,Full-time,3.6975943126293,2.13066736418841,4.16309076284124,4.38703606404878,3.56161992191156,4.60789931929713,5.02379910978465,4.79874923381688,2.94139674146988,4.57790415395251,3.72299082285426,3.88880073212096
,,,,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regional POKKT Brand Allocation%,,,,,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,Regional POKKT App Allocation%,,,,,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00
Local brand GP/ TT: brand GP,,,,,,,,,,,,,,,,,,,Local App GP/ TT: App GP,,,,,,,,,,,,,,,,
,India,,,,0.32707933881591,0.39149741188215,0.310056774834432,0.528398871154483,0.426965991711948,0.395203292500819,0.424452825297031,0.344070498673216,0.491186349590219,0.504191726864178,0.364481371294683,0.415440546913076,,,,India,,,,0.0471232997314786,0.122291974396848,-0.00467028908186548,0.0888164411407505,0.0203646696661141,0.0771041106010236,0.0643090539532251,0.0586785228877774,0.0720274578970024,0.0279356035992951,0.0793591442250636,0.0530325928164827
,MENA (Dubai and KSA),,,,0.198159513507739,0.0577081444810199,0.208032679410334,0.024118359665856,0.0309060509649,0.0983106508516553,0.114893522213085,0.180964423511328,0.113986295848448,0.116862728458837,0.0802491020917793,0.0331941462386553,,,,MENA (Dubai and KSA),,,,0.31318505964696,0.323629574922041,0.299579756061526,0.157387229864167,0.321500751697514,0.171716532109123,0.149055325426025,0.191039432891241,0.256442587167775,0.157934407992888,0.230005771278541,0.20988027471328
Total,,,,,1,1,0.999999999999999,1,1,1,1,1,1,0.999999999999999,1,1,,,Total,,,,,1,0.999999999999999,1,1,1,0.999999999999999,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand GP/ TTL GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local brand GP,,,,121775,173114.6,280209.2,163526,193837,166875,227433,182929,146935,107173,144088,209290,,,,,,,,,,,,,,,,,,,
,MMPL TTL GP,,,,264485.252124757,397809.986010083,577247.212383601,384091.221285325,390604.835230269,437444.763777883,448516.674236167,463577.361838494,560642.25140194,382584.585147912,403116.00870778,488890.635631136,,,,,,,,,,,,,,,,,,,
,Local Brand +MMPL GP,,,,386260.252124757,570924.586010083,857456.412383601,547617.221285325,584441.835230269,604319.763777883,675949.674236167,646506.361838494,707577.25140194,489757.585147912,547204.00870778,698180.635631136,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnyMind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thailand,,,,0.0530212463937014,0.0570578160377641,0.0280078376616724,0.0450747329349217,0.0606185215780137,0.0257098988503553,0.0311680008187105,0.0385301699571253,0.036315469369723,0.0081550549110817,0.00574374447186923,0.0367025361235286,,,,,,,,,,,,,,,,,,,
