(千円),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,PMとGROVEには韓国案件が含まれている,Unnamed: 7,Unnamed: 8
営業利益,99867,99650,42554.88576746106,41565.07716714361,76740.08498950675,80022.66346772523,3282.5784782184783,
粗利率,0.452,0.51,0.5355807079825092,0.3985666203570146,0.41142699263984345,0.545866093727496,,
営業利益率,0.226,0.222,0.16118512276944127,0.11606888206984574,0.1680150432250088,0.22378446087219814,,
1人当たり粗利益,2743,3296,2040.9500149479206,1814.540096164566,2171.4022028583604,2049.387821560324,,
1人当たり営業利益,1372,1434,614.2319426793412,528.422676851556,886.738696047324,840.1715256468665,,
"人数(正社員=1, Intern&Part Time=0.3)",73,69,69.28146,78.6587687999999,86.5419377,95.2456266666667,,
前月比_売上,1.194,1.016,0.5880967082762317,1.3564016672372288,1.2754437741533882,0.7829048216489372,,
前月比_粗利,1.153,1.147,0.617345922515723,1.0094023557977323,1.3165979524604832,1.0387291169493884,,
前月比_人件費,1.051,0.945,1.034235514587827,1.2112070813058828,0.9478921668790328,1.1864956358072265,,
前月比_販管費(人件費以外),1.048,1.768,1.1524390208522215,0.6026069948033428,1.5848426932359259,0.636651759022099,,
,,,,,,,,
PM,11月,12月,1月,2月,3月,4月,差額,
売上高,19752,18873,28430.065,36613.544,35796.963,22922.511,-12874.452000000005,
原価,10008,9291,17477.715,17217.895,19244.947000000004,7917.396000000001,-11327.551000000003,
粗利,9744,9582,10952.349999999999,19395.649,16552.016,15005.114999999998,-1546.9010000000017,
人件費,4159,3553,6652.954899999983,6973.813,6433.0815,6664.5677000000005,231.48620000000028,0.03598371946632423
その他販管費,-347,1882,319.5540000000001,-77.06800000000021,33.41699999999946,605.6210000000001,572.2040000000006,
管理部門コスト,4535,5648,3353.643190661894,3999.4620392114284,4092.7352060490784,4429.599249409836,336.86404336075793,
エンジニアコスト,631,457,1065.4504011800434,1114.359401385073,968.426213221692,1091.5725310989287,123.1463178772367,
営業利益,766,-1958,-439.25249184192216,7385.0825594034995,5024.356080729229,2213.754519491231,-2810.601561237998,
粗利率,0.493,0.508,0.3852383031836191,0.5297397323788159,0.46238604096107255,0.6546017144456817,,
営業利益率,0.039,-0.104,-0.015450280955809359,0.20170357066236197,0.14035704874542648,0.09657556798603918,,
1人当たり粗利益,1121,1430,969.2345132743361,1716.4291150442477,1345.692357723577,1219.9280487804876,,
1人当たり営業利益,88,-292,-38.87190193291347,653.5471291507521,408.48423420562835,179.98004223505941,,
"人数(正社員=1, Intern&Part Time=0.3)",9,7,11.3,11.3,12.3,12.3,,
前月比_売上,1.126,0.956,1.5063882265670534,1.287845947591045,0.9776972969347082,0.6403479256047502,,
前月比_粗利,1.181,0.983,1.143012940930912,1.7709120873602473,0.8533880975057859,0.906543045874291,,
前月比_人件費,0.958,0.854,1.872489417393747,1.0482279084741755,0.922462575351533,1.0359837194663242,,
前月比_販管費(人件費以外),-0.236,-5.418,0.16979489904357073,-0.2411736357548339,-0.43360408989463034,18.123140916300382,,
,,,,,,,,
BC,11月,12月,1月,2月,3月,4月,差額,
売上高,53815,62143,39375.23031895602,21186.34532429245,52209.0127253193,42450.72062986994,-9758.29209544936,
原価,21535,16279,17209.415679180056,7827.807914762274,19609.97879206082,16600.199113425253,-3009.7796786355684,
粗利,32279,45864,22165.814639775963,13358.537409530178,32599.033933258477,25850.521516444685,-6748.512416813792,
人件費,3465,4283,4814.479899999999,4119.41791,3688.16103,4794.03262,1105.8715899999997,0.299843629658437
その他販管費,13733,19916,11734.358,7222.8060000000005,14157.332000000002,11478.066,-2679.2660000000014,
管理部門コスト,2530,5648,2248.301191250004,2444.637429693847,2400.6359270595963,3071.9090729647073,671.273145905111,
エンジニアコスト,982,1123,1216.0290717131227,809.1671600827394,1157.9349839409672,1137.6230629280667,-20.311921012900484,
営業利益,11570,14893,2152.646476812839,-1237.491090246409,11194.969992257913,5368.8907605519125,-5826.079231706,
粗利率,0.6,0.738,0.5629380313517786,0.6305258035331446,0.6243947592873986,0.6089536557420718,,
営業利益率,0.215,0.24,0.05467006692724061,-0.058409842344422216,0.21442600439806433,0.12647348928098426,,
1人当たり粗利益,6656,6845,2925.9548294115048,1934.0495197231464,4518.4238207910175,3030.541795597267,,
1人当たり営業利益,2386,2223,284.1558705243169,-179.16400391597324,1551.6907399655151,629.4127503577859,,
"人数(正社員=1, Intern&Part Time=0.3)",5,7,7.57558333333333,6.90702966666666,7.2146915,8.53,,
前月比_売上,1.801,1.155,0.633622939332765,0.5380627656695363,2.464276491588003,0.8130918095159272,,
前月比_粗利,1.34,1.421,0.48329440606523555,0.6026639501694036,2.440314604351959,0.7929842819688971,,
前月比_人件費,0.973,1.236,1.1240905673593273,0.8556309291061742,0.8953112091509065,1.299843629658437,,
前月比_販管費(人件費以外),1.063,1.45,0.5891925085358506,0.6155263031859093,1.9600875338476489,0.8107506414344171,,
,,,,,,,,
PG,11月,12月,1月,2月,3月,4月,差額,
売上高,560307,560479,491257.95919383556,474789.1517081336,613954.250578052,484077.8288239838,-129876.42175406823,
原価,345007,349989,317068.2069227689,308305.47792420327,403057.9745119754,307094.14913713525,-95963.82537484018,
