,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,,,,,ALL,,BI Dashboard,実績,差額,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GROVE,,,合計,"+30,677",,,,,,CG,,,合計,"+5,645",,,,,,,,,,,,,,,,②,6月 AD コスト差額分,,,"△8,000",,,,,,*実績とGDSについては、韓国案件が含まれています,,,,,,,,,,③,送料・資材における予実差,,,"△2,000",,,,,,①,韓国案件,,,"△4,000",,
,CG,,,合計,"+5,193",,,,,,,,,,,,,,,,,,,,,,,,,,①,昨年ツアー概算の戻し,,,"+10,000",,,,,,①,著作権に関する計算は、BI Dashboardとの差額が生じる,,,"+5,000",,,,,,,6月に見積べきだったコスト,,"△4,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,②,在庫評価損,,,"△3,100",,
,①,著作権に関する計算は、BI Dashboardとの差額が生じる,,,"+5,000",,,,,,,,,,,,,,,,,,,,,,,,,,②,8月のAnyLogi分の二重計上の取り消し,,,"+5,300",,,,,,,,,,,,,,,,,,,,,,,,,,PG App,,,合計,"△9,913",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,③,sxoの食材分の二重計上の取り消し,,,"+4,600",,,,,,,,,,,,,,,,,,,,,,,,,,①,SGアカウント(FIVE) 配信分の精算 (24/09-25/05 9か月分),,,"△9,913",,,,,,,,,,,,,,,,*実績とGDSについては、PMとGROVEには韓国案件が含まれています,,,,,,,,,,*実績に関しては、PMとGROVEには韓国案件が含まれていないため、ピュアなJP業績になります,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,④,CG過去分調整：Google/ MCNの予実差額,,,"+5,000",,,,,,,,,,,,,,,,DXAI,,,合計,"△4,947",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*GDSに関しては、PMとGROVEには韓国案件が含まれてる,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,➄,IM予実差額（主に概算の月ズレ）,,,"+5,000",,,,,,,,,,,,,,,,①,吉本の先月繰越分,,,"△2,700",,,,,,PG Web,,,合計,"△6,710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,②,COGS ⇔ SGA のリクラス,,,"△1,800",,,,,,②,確定値差額分,,,"△5,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,③,電通 Rebate,,,"△1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BC,,,合計,"+37,551",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,①,Waterpik Marketing Support fee,,,"+40,000",,,,,,,,,,,,,,,,AnyReach,,,合計,"△3,978",,,,,,D2C Creator,,,合計,"△3,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,②,在庫評価損,,,"△2,500",,,,,,,,,,,,,,,,①,AnyGift Wedding の返金や Stripe の原価に関する処理方法の違いにより、差額が発生。,,,"△4,000",,,,,,①,在庫評価損,,,"△4,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*実績とGDSについては、韓国案件が含まれています,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,データ取得時点,,1月15日 16:56 pm,,,,,,,,データ取得時点,,11月11日 19:36 pm,,,,,,,,データ取得時点,,11月11日 19:36 pm,,,,,,,,データ取得時点,,9月12日 12:04 pm,,,,,,,,データ取得時点,,9月12日 12:04 pm,,,,,,,,データ取得時点,,8月16日 12:04 pm,,,,,,,,データ取得時点,,7月16日 17:16 pm,,,,,,,,データ取得時点,,6月12日 16:39 pm,,,,,,,,データ取得時点,,5月22日 17:31 pm,,,,,,,,データ取得時点,,4月24日 14:52 pm,,,,
,Business Domain,Revenue,Actual,Gross Profit,Actual,ACM Rate,,,,,Business Domain,Revenue,Actual,Gross Profit,Actual,ACM Rate,,,,,Business Domain,Revenue,Actual,Gross Profit,Actual,ACM Rate,YoY,,,,Business Domain,Revenue,Actual,Gross Profit,Actual,ACM Rate,YoY,,,,Business Domain,Revenue,Actual,Gross Profit,Actual,ACM Rate,YoY,,,,Business Domain,Revenue,Actual,Gross Profit,Actual,ACM Rate,YonY,,,,Business Domain,Revenue,Actual,Gross Profit,Actual,ACM Rate,YonY,,,,Business Domain,Revenue,Actual,Gross Profit,Actual,ACM Rate,YonY,,,,Business Domain,Revenue,Actual,Gross Profit,Actual,ACM Rate,YonY,,,,Business Domain,Revenue,Actual,Gross Profit,Actual,ACM Rate,YonY
,Influencer Marketing,¥0,"¥8,414,940",¥0,995671,-,,,,,Influencer Marketing,¥0,"¥6,667,730",¥0,"¥436,762",-,,,,,Influencer Marketing,¥0,"¥3,228,689",¥0,"¥1,799,098",-,-,,,,Influencer Marketing,¥0,"¥2,601,311",¥0,"¥1,244,085",-,0.0623,,,,Influencer Marketing,¥0,"¥3,542,000",¥0,"¥1,804,878",-,-,,,,Brand Marketing,"¥554,250,000","¥414,130,733","¥217,300,000","¥181,610,602",0.8358,0.3343,,,,Brand Marketing,"¥593,625,000","¥507,744,775","¥233,650,000","¥242,681,058",1.0387,0.3521,,,,Brand Marketing,"¥540,125,000",403740115,"¥212,650,000",200656848,0.9296,0.2663,,,,Brand Marketing,"¥453,875,000","¥364,816,304","¥181,550,000","¥185,678,466",1.0227,0.3184,,,,Brand Marketing,"¥593,500,000","¥486,872,637","¥227,528,750","¥230,870,403",1.0147,0.315
