Unnamed: 0,HR Data Sheet,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,Country,AJP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Local Employee Expense,,,,,,,,,,,,,,,,,,,,FTE by Contract type,,,,,,,,,,,
,Location,Department,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,,,,,Department,Contract type,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00
,POKKT,Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,,,,Non Full-time,[Dept 1],Intern,0,0,0,0,0,0,0,0,0,0,0,0
,AJP,Corporate,36.9869066666666,36.0312966666666,38.8638833333333,41.4333666666666,45.41518,44.0511399999999,44.4577733333333,43.4035333333333,41.8398066666666,40.0711766666666,42.2634233333333,42.06014,,,,Full-time,[Dept 1],Fixed-Term,0,0,0,0,0,0,0,0,0,0,0,0
,Corporate,Full-time,32.999999999999936,31.999999999999936,34.99999999999997,36.999999999999936,41,39.9999999999999,39.99999999999997,38.999999999999964,37.999999999999936,35.999999999999936,36.99999999999997,37,,,,Non Full-time,[Dept 1],Consultant,0,0,0,0,0,0,0,0,0,0,0,0
,Corporate,Non Full-time,3.98690666666666,4.031296666666663,3.863883333333326,4.433366666666663,4.415179999999999,4.051139999999996,4.45777333333333,4.403533333333333,3.83980666666666,4.071176666666666,5.26342333333333,5.060139999999993,,,,Full-time,[Dept 2],Full-time,0,0,0,0,0,0,0,0,0,0,0,0
,AJP,[Dept 1],0,0,0,0,0,0,0,0,0,0,0,0,,,,Non Full-time,[Dept 2],Part-time,0,0,0,0,0,0,0,0,0,0,0,0
,[Dept 1],Full-time,0,0,0,0,0,0,0,0,0,0,0,0,,,,Non Full-time,[Dept 2],Intern,0,0,0,0,0,0,0,0,0,0,0,0
,[Dept 1],Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,,,,Full-time,[Dept 2],Fixed-Term,0,0,0,0,0,0,0,0,0,0,0,0
,AJP,[Dept 2],0,0,0,0,0,0,0,0,0,0,0,0,,,,Non Full-time,[Dept 2],Consultant,0,0,0,0,0,0,0,0,0,0,0,0
,[Dept 2],Full-time,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Regional,,15,16,15.6231,17,16,13.5366766666666,15.9347,15.6428,11.6623,9.64737666666666,9.7595,9.71817666666666
,[Dept 2],Non Full-time,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Tech-Recharge,,38.1943933333333,37.3767666666666,38.1355433333333,38.1122233333333,40.3202233333333,40.1572233333333,35.8057233333333,34.7169066666666,35.5511133333333,36.0803966666666,35.1446633333333,33.62016
