(千円）実績と予算➡ 韓国案件を含む,実績,実績.1,実績.2,実績.3,実績.4,見込み,見込み.1,見込み.2,見込み.3,見込み.4,見込み.5,見込み.6
原価,157299.624812891,240423.195916834,307682.89345719,186910.48248947,317404.770800793,329338.637,355079.839,374524.686,411766.93,390445.961,460909.654,471836.118
粗利,174518.161462389,175483.676312069,237068.404094669,236050.863863993,222476.33487004,235133.325,278897.238,286902.513999999,318806.991,303222.415999999,352050.224999999,364472.828
人件費,48830.2269999999,56347.3094,53017.2290499999,62354.5011196256,55890.9575604912,78179.2819830951,63889.4513135408,65229.3716999999,76203.7004999999,69877.2672,71299.1329,79512.9284133333
その他販管費,43832.418,26295.688,44540.4073333333,31405.8503636363,39391.1669999999,60446.547,80244.6259999999,68281.899,88645.527,95194.462,110556.891999999,79857.018
管理部門コスト,26163.4750516565,34284.1667137466,35289.56911884,41802.3177851579,56080.966329037,58305.7737187311,63799.2560031529,69263.4087547532,61144.5758863427,61003.4499407077,86327.8937673824,62134.3846700666
エンジニアコスト,11423.7616583014,10843.8435620209,11261.7875300022,12882.8858478043,12980.4701655061,17574.3789329423,18457.2779786073,17674.1325881943,16740.7210413889,17445.297463459,17002.2825600267,17304.2096974689
営業利益,44268.279752432,47712.6686363019,92959.4110624941,87605.3087477688,58132.7738150054,20627.3433652314,52506.6267046989,66453.7019570522,76072.4665722682,59701.9393958331,66864.0237725907,125664.287219131
粗利率,0.525945771085359,0.421930215703403,0.435186488146181,0.558090865510741,0.412083943174118,0.416554480698901,0.439916912011631,0.433762799594573,0.436378827434219,0.437128786685341,0.43304747761113,0.4358112271108
営業利益率,0.133411413081112,0.114719596674618,0.170645598239524,0.207123675728415,0.107676992590381,0.0365427244466597,0.0828210176827875,0.100470168080557,0.104126994388386,0.086066975770229,0.0822476305409294,0.150260603835668
1人当たり粗利益,1979.62811436987,1811.61647444073,2235.30019653566,2033.59542948545,1979.39773349567,1777.77023248895,2172.27687714932,2198.25451896715,2513.42044318377,2256.89587021565,3132.34005953859,2748.6638612368
1人当たり営業利益,502.152500567059,492.564655343452,876.507312779031,754.726132121984,517.214025475813,155.956953400956,408.964003751548,509.169991550462,599.742471287757,444.363784985872,594.91755815474,947.694473749103
"人数(正社員=1,Intern&Part Time=0.3)",88.1570433333333,96.8657984666666,106.0566292,116.075626666666,112.395973333333,132.263056666666,128.38936,130.513783333333,126.841886666666,134.353746666666,112.392083333333,132.6
前月比_売上,0,1.25341946523584,1.30979152768613,0.77643017695281,1.27643131062775,1.04554865149172,1.12313298034101,1.04329828947427,1.10454169559401,0.949484175469219,1.17197194791539,1.02872105697112
前月比_粗利,0,1.00553246058512,1.35094277186831,0.995707820135026,0.942493203491199,1.05689139987564,1.18612382145321,1.02870331759972,1.11120319775239,0.951115955923312,1.16102968126208,1.03528645096022
前月比_人件費,0,1.15394322045646,0.94090080989741,1.17611769300164,0.896341989061316,1.39878229673343,0.817217166657475,1.02097248229419,1.16824213562063,0.916979972645817,1.02034804389144,1.11520189908695
前月比_販管費(人件費以外),0,0.599914154861363,1.69382932035599,0.705109186105999,1.25426207359153,1.53452034056264,1.32753035504244,0.850921767645848,1.29822878827667,1.07387778291396,1.16137945083402,0.722316054253768
,,,,,,,,,,,,
BM,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
売上高,264012.490956325,358106.982904612,456745.32182654,357588.114723594,489125,536625,488250,539875,566125,534375,601268.75,658231.25
原価,122612.494133711,215377.493002072,268827.967665129,162392.887376045,293475,321975,292950,323925,339675,320625,360968.75,394731.25
粗利,141399.996822613,142729.489902539,187917.354161411,195195.227347548,195650,214650,195300,215950,226450,213750,240300,263500
人件費,37362.7921999999,45254.07849,42895.9865199999,50895.9007996256,51121.5304504912,64989.7472630951,51621.2394135408,51252.5791999999,62546.3181999999,57264.9332,58697.9583,62875.8494933333
その他販管費,31778.506,19149.95,30349.6583333333,19322.1633636363,25387.2849999999,29026.994,34008.787,30911.941,32846.03,34257.843,37875.907,32171.173
管理部門コスト,20561.5306697446,27840.0672448414,28796.1979857313,34300.8094627834,51685.9525650521,46135.1186297219,51629.5431600567,55655.0497665645,49119.3864821861,49469.5607526824,70620.1738316614,50035.0096171839
エンジニアコスト,9142.28218540823,8920.31700055318,9135.4263328396,10653.6902537773,11761.0378700082,12714.8406239945,12542.2301108493,12586.3623530743,11739.5220780062,11837.336995697,12035.6498416225,12035.6498416225
営業利益,42554.885767461,41565.0771671447,76740.084989507,80022.6634677257,55694.1941144482,61783.2994831882,45498.2003155531,65544.067680361,70198.7432398076,60920.3260516204,61070.3110267159,106382.31804786
粗利率,0.535580707982506,0.398566620357017,0.411426992639843,0.545866093727497,0.4,0.4,0.4,0.4,0.4,0.4,0.399654896416951,0.400315238755376
営業利益率,0.16118512276944,0.116068882069848,0.168015043225009,0.223784460872199,0.113864950911215,0.115133099432915,0.0931862781680555,0.121406006353991,0.123998663263073,0.114002949336365,0.101569075437091,0.161618455592711
1人当たり粗利益,2040.95001494792,1814.54009616457,2171.40220285836,2049.38782156032,1887.31165790433,2046.94843159292,1879.70865574555,2059.18855161727,2222.36114364696,1961.88110146934,2138.05094516591,2485.84905660377
1人当たり営業利益,614.23194267934,528.422676851569,886.738696047326,840.171525646871,537.246623203604,589.178793271595,437.907634173017,624.994645954283,688.924527750049,559.150579536958,543.368440333943,1003.60677403641
"人数(正社員=1,Intern&Part Time=0.3)",69.28146,78.6587687999999,86.5419377,95.2456266666667,103.665973333333,104.8634136,103.89908,104.871406666666,101.89613,108.951556666666,112.392083333333,106
前月比_売上,0.588096708276235,1.35640166723722,1.27544377415338,0.782904821648936,1.36784467900472,1.09711219013544,0.909853249475891,1.10573476702508,1.04862236628849,0.943916979465665,1.1251812865497,1.09473717035851
前月比_粗利,0.617345922515723,1.00940235579773,1.31659795246047,1.03872911694938,1.00232983489725,1.09711219013544,0.909853249475891,1.10573476702508,1.04862236628849,0.943916979465665,1.12421052631578,1.09654598418643
前月比_人件費,1.03423551458783,1.21120708130587,0.947892166879033,1.18649563580722,1.00443315959283,1.2712793746665,0.794298202215879,0.992858361834602,1.22035454949357,0.915560417431573,1.02502447868043,1.07117609052056
