(千円),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
ALL,11月,12月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,差額,,,,,,,,3,Mar,,,,,,,,
営業利益,112204,112587,43489.66863630069,89018.41106249389,85611.30874776837,66184.72199500538,55008.0090975707,11465.445857270039,37955.00514269041,97184.0409096987,0,0,0,45528.74242619319,,,,,,,,,,,,,,,,,
粗利率,0.469115029993227,0.5368332065901427,0.4171738930416927,0.43247721534747136,0.5577279534981425,0.49636888300822085,0.442269537931432,0.45090808636934987,0.4946282311636732,0.5816218370155326,0,0,0,,,,,,,,,,,,,,,,,,
営業利益率,0.21775218666247478,0.21245115040674187,0.10593648678018378,0.16513903494301452,0.20400093907067005,0.14250761812917936,0.10717476931375523,0.021735255821367844,0.07265224353884094,0.22303270665997263,0,0,0,,,,,,,,,,,,,,,,,,
1人当たり粗利益,2778.4712643678163,3427.602409638554,1768.0200754345979,2198.1408032028,2016.416973876278,2069.4489769412417,2047.5388472161133,1852.6150231808233,1979.8967632841775,1998.0410598582846,0,0,0,,,,,,,,,,,,,,,,,,
1人当たり営業利益,1289.7011494252874,1356.4698795180723,448.9682563373113,839.3479194461697,737.5476765128099,594.1392674666898,496.1782008268479,89.30214978305085,290.8122358674808,766.1825558073962,0,0,0,,,,,,,,,,,,,,,,,,
"人数(正社員=1, Intern&Part Time=0.3)",87,83,96.86579846666656,106.0566292,116.0756266666667,111.395973333333,110.8634136,128.38936,130.5137833333326,126.8418866666666,134.35374666666598,137.3909366666663,129.085993333333,,,,,,,,,,,,,,,,,,
前月比_売上,,1.0284503855163085,0,1.3130750922594514,0.7785183863936256,1.1066765257808102,1.1051308482137834,1.0277626294705386,0.9903616913637115,0.8340774381115751,0,0,0,,,,,,,,,,,,,,,,,,
前月比_粗利,,1.1769103161831322,0,1.3612430425643574,1.0039869176810536,0.9849242583374814,0.9846824132712334,1.0478372140754126,1.0863873734352132,0.9807722673377641,0,0,0,,,,,,,,,,,,,,,,,,
前月比_人件費,,0.9589477357996684,0,0.9409008098974097,1.1761176930016415,0.8963419890613172,1.223864378939329,0.9340159947279613,1.0209724822941948,0.958867402366839,0,0,0,,,,,,,,,,,,,,,,,,
前月比_販管費(人件費以外),,1.703574632530536,0,1.693829320355996,0.7051091861059998,1.2542620735915344,1.0301729319164374,1.977456667141616,0.8509217676458484,0.48103568414229353,0,0,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BM,11月,12月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,差額,,,,,,,,,,,,,,,,,
売上高,441716,448927,358106.98290461145,456745.32182654046,357588.11472359404,413673.2551161151,478990.9660359467,391528.9910592775,378449.90603488643,435738.9656659724,0,0,0,98638.33892192901,,,,,,,,,,,,,,,,,
原価,242013,219882,215377.49300207326,268827.96766512946,162392.8873760461,209971.30693611523,273126.46949991415,238206.24398863892,189434.86039598027,182303.66799608144,0,0,0,53450.4746630562,,,,,,,,,,,,,,,,,
粗利,199703,229045,142729.4899025382,187917.354161411,195195.22734754795,203701.94817999986,205864.49653603253,153322.74707063858,189015.04563890616,253435.29766989095,0,0,0,45187.86425887281,,,,,,,,,,,,,,,,,
