Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,*** For Strategy Meeting Slides***,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Gross Profit %,,,,,,,,,,,,,0.4182679711101154,0.39456756927035375,0.42566040748720757,0.46407414112519785,0.4569464508443495,0.39529506232270634,0.4072086141289647,0.4348741786761095,0.43262417540005077,0.42493950714105955,0.4119480785569839,0.4279460143942684,0,0,0,,Gross Profit %,,,,,,,,
Operating Profit %,,,,,,,,,,,,,0.06559391837273731,0.05934481697427462,0.12513977279798996,0.09290278800568606,0.05315663563364688,0.07459330116546954,0.03726262476191596,0.05306450481660594,0.15960929077613364,0.05080038744850453,-0.04236784359819746,0.17128268772919691,0,0,0,,Operating Profit %,,,,,,,,
GP Per Person,,,,,,,,,,,,,13439.587537562218,13004.269600897916,15878.51025964599,8206.753711006188,12690.997302210995,14175.463489060914,12090.576964102716,36019.231033342854,63766.18737625097,11986.474449573627,11345.965431945373,20263.759906554795,0,0,0,,GP Per Person,,,,,,,,
OP Per Person,,,,,,,,,,,,,2107.6325915235598,1955.90327095693,4668.11836692227,1642.9062355853114,1476.3452439004045,2674.9502282839417,1106.3779520777548,4395.16244555604,23525.44430326875,1432.9511282127241,-1166.9045540279699,8110.44183974139,0,0,0,,OP Per Person,,,,,,,,
Full-time HC,,,,,,,,,,,,,252.17431666666593,264.124156666666,278.11493666666604,465.73859666666596,300.350219999999,304.73393999999956,304.42407666666594,105.12860333333322,90.27918333333253,302.56789999999927,309.59032999999994,293.2377366666663,,0,0,,Full-time HC,,,,,,,,
Non Full-time HC,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Non Full-time HC,,,,,,,,
Revenue MoM%,,,,,,,,,,,,,0,0.07433696355355468,0.19178553505709472,-0.20611892466627746,0.012819692476533806,0.31002114997586294,-0.1728726874713884,-0.036653235234291204,0.5281837530826923,-0.35861334895826835,-0.0009225504521644945,0.6284129304637232,0,0,0,,Revenue MoM%,,,,,,,,
GP MoM%,,,,,,,,,,,,,0,0.01346159296290228,0.28570099521323944,-0.1344751080657698,-0.002736151813375165,0.13327259937547176,-0.14794441229820554,0.02879609755774104,0.5202770558827725,-0.37000624819799144,-0.03146676467005449,0.6916520786336045,0,0,0,,GP MoM%,,,,,,,,
Staff Cost MoM%,,,,,,,,,,,,,0,0.08942078918180663,0.006127750951976152,0.09724062926638055,-0.05202658814353667,0.0917743538128839,-0.097228620550877,-0.06185239499439843,0.08504173246541424,-0.06847472945582689,-0.018104573641533173,-0.10451862219125319,0,0,0,,Staff Cost MoM%,,,,,,,,
Other SG&A MoM%,,,,,,,,,,,,,0,-0.005898339540272968,0.09549116689348036,-0.06608847343651947,0.17400215605591884,0.02101825123386858,-0.02506136813987736,0.01527877374142661,0.0954017318238527,-0.13909220146172563,0.29908823109382165,-0.073163365983819,0,0,0,,Other SG&A MoM%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DM,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD,Jan (FCST),Feb (FCST),,DM,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,Jan (FCST),Feb (FCST)
Revenue,419.589296139999,0,0,-0.000136499999996431,-9.42399999530607e-05,0.00285238000014942,0.00164666000000579,0.00305389999994076,4278.17669414,2243.52517459999,2229.36913384,1895.8517028,8660.99614906,11990.97301258,17018.60083945,17199.27263322,5238.9323249342,5250.9754098,9422.90518255999,-5150.33280517039,12469.3668712299,1349.83101139,11487.9715209161,8861.35844291687,,,,,Revenue,9422.90518255999,-5150.33280517039,12469.3668712299,1349.83101139,11487.9715209161,8861.35844291687,,
Cost,-10487.4501965456,-12092.3517742,21305.4083752,0,-214.3818208124,-3445.3276951391,-3124.6910700576,-2701.0155695835,3624.78758473119,3566.4549181229,1492.00504866729,7567.100363,460.97419873000035,9397.59837613001,14285.286710670009,18849.01222975,3028.0905647754,-4700.2216008737005,892.5038257651904,5672.946571621809,5962.5676065399,3960.9844888766,21284.845041784392,-2055.524481540031,,,,,Cost,892.5038257651904,5672.946571621809,5962.5676065399,3960.9844888766,21284.845041784392,-2055.524481540031,,
Gross Profit,10907.0394926855,12092.3517742,-21305.4083752,-0.000136499999996431,214.3817265724,3445.3305475191,3124.6927167176,2701.0186234835,653.389109408802,-1322.9297435229,737.364085172701,-5671.24866019999,8200.02195033,2593.3746364499893,2733.31412877999,-1649.7395965299984,2210.8417601588,9951.1970106737,8530.4013567948,-10823.2793767922,6506.79926469,-2611.1534774866004,-9796.873520868292,10916.8829244569,,,,,Gross Profit,8530.4013567948,-10823.2793767922,6506.79926469,-2611.1534774866004,-9796.873520868292,10916.8829244569,,
Staff Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Staff Costs,0,0,0,0,0,0,,
Direct SG&A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Direct SG&A,0,0,0,0,0,0,,
Indirect SG&A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,Indirect SG&A,0,0,0,0,0,0,,
Operating Profit b/f adj,10907.0394926855,12092.3517742,-21305.4083752,-0.000136499999996431,214.3817265724,3445.3305475191,3124.6927167176,2701.0186234835,653.389109408802,-1322.9297435229,737.364085172701,-5671.24866019999,8200.02195033,2593.3746364499893,2733.31412877999,-1649.7395965299984,2210.8417601588,9951.1970106737,8530.4013567948,-10823.2793767922,6506.79926469,-2611.1534774866004,-9796.873520868292,10916.8829244569,,0,0,,Operating Profit b/f adj,8530.4013567948,-10823.2793767922,6506.79926469,-2611.1534774866004,-9796.873520868292,10916.8829244569,,
