Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,0.43077421245375674,All,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Finance,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,HR,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Legal,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,PR,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,共通系,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,エンジニアコスト,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,管理部門コスト+エンジニアコスト,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
ALL,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月（見込み）,,"累計
（1月 - 12月）",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,カテゴリー,25Q1,24Q1,増減額,"前年同期比
増減率",,,2025 Q1 実績,2025 Q1 予算,増減額,"前年同期比
増減率"
営業利益,-27954,-110381,-31645.28456403663,-17063.800588247555,6774.003858277749,-30053.872969073796,-30914.75320298477,-20982.23938660411,-31540.523621912143,-25594.80459120254,-9012.528970916159,-24571.795242748936,-23182.768684383132,-986.231426178696,-14014.731,0.0,-238774.59939001076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,広告宣伝費,,1.867,,0,,一般管理費,17950.225,20776.156,-2825.9310000000005,-0.13601799100853884
粗利率,0.545,0.164,0.45594932492163737,0.6112068376722796,0.7346584711247024,0.4473460054142066,0.5480415329551838,0.5075991730760173,0.49296261108125494,0.5637292766013956,0.5654704509597293,0.4085798166893881,0.5329335499561049,0.4393765044245339,0,0.0,0.2798642760723681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,業務委託費,,,,0,,保険料,2379.119,180,2199.119,12.21732777777778
実質営業利益率,,,-0.18870330766740898,-0.012629335327025613,0.15544941861756673,-0.11031327992432272,-0.11124463421678685,,,,,,,,0,0.0,-0.0292349338458594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業利益率,-0.249,-0.559,-0.32100023121583926,-0.15450884738962298,0.046982218865159985,-0.24581076672945304,-0.3413953435797453,-0.12740305989248432,-0.3962923187298329,-0.2594570730971275,-0.053901589147805365,-0.20776731931798903,-0.17689279185990456,-0.005134180414414568,,0.0,-0.331947392738808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社内会食,,,,0,,IT費用,56517.20127,43929.367,12587.83427,0.28654713531383225
1人当たり粗利益,1974.1290322580646,1154.2142857142858,1665.3953686550574,2362.021531965526,3684.3387826086955,1924.143874009102,1745.2166161149942,3025.767667444849,1378.5084763628056,2099.7248219095377,3913.8936823441045,2255.313989030792,3219.1554516362903,4263.0171408829465,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀行関係（振込手数料）,,,,0,,業務委託費,8904.044,7999.008,905.0360000000001,0.11314352979769482
1人当たり営業利益,-916,-3878,-1172.4818289750513,-597.1026531760557,235.617525505313,-1057.2918395236818,-1087.1599877967303,-759.4418584651396,-1108.1820572321255,-966.400858026126,-373.0788918781666,-1146.851906484441,-1068.5110654374787,-49.8139952651794,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,,,,0,,人材採用(新卒),36355.968100464816,22040,14315.968100464816,0.6495448321445016
"人数(正社員=1, Intern&Part Time=0.3)",31,28,26.99,28.5776666666666,28.75,28.4253333333333,28.43625,27.6285,28.4615,26.4846666666666,24.1571666666666,21.42543,21.69633,19.79828,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,35856.404728796246,34981.11706183961,875.2876669566322,0.025021718586324626,,賃借料,432,432,0,0
前月比_売上,0.922,1.758,0.4992624760708606,1.1202598064967753,1.3055379528245763,0.8479839434370473,0.7406425275558437,1.8187113970469482,0.48326046297836034,1.239461550960361,1.6949574520603907,0.7073177339695246,1.1081422519570938,1.4657251707013779,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,研究開発費,2975.58,120,2855.58,23.796499999999998
前月比_粗利,0.969,0.528,1.3908354786806112,1.501724898524486,1.5692306716824496,0.5163518078968143,0.907357752748173,1.6845008009282612,0.46932570480462893,1.4173909902934974,1.7001926182589362,0.5110713558877065,1.4454120347330042,1.2084155745174392,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,人件費,130175.96803775942,194082.215,-63906.24696224058,-0.3292741015050791
前月比_人件費,0.97,1.001,1.0470954276615105,0.9742412690419346,1.0584236028693068,0.9947090166690932,0.9721777675245862,0.9367895225302151,1.1289899606833198,0.8141961267238145,0.9794092939371997,0.8688619119408296,1.0565682392142264,0.9249778944023969,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,電話代,4305.728,3562.5,743.2280000000001,0.208625403508772
前月比_販管費(人件費以外),0.713,1.601,0.4251710561509247,1.2345072042807548,1.2157492767604086,0.7662001271770744,0.8456833217077809,1.5511669684436937,0.5781125199906042,1.3611453651193004,1.3335939239505967,0.8348230485576575,1.2507212667268808,1.0201956904320584,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,カテゴリー,2504,2503,増減額,"前年同期比
増減率",,交通費および宿泊費,2757.4591909418004,5362.5,-2605.0408090581996,-0.48578849586166895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,人件費,33337.79583681989,31917.789728796244,1420.0061080236446,0.04448948752684201,,ロイヤリティ,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT費用,4013.743,3938.615,75.12800000000016,0.01907472550630107,,,418689.29714462603,468380.11,-49690.81285537395,-0.10609078352061951
BC,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月（見込み）,,"累計
（1月 - 12月）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,オフィス費用,,,0,0,,,,,,
売上高,141355,169300,77526.13931895602,60011.88932429245,99526.7227253193,77337.86162986993,86796.9006708338,108200.98238591934,135975.53667664193,143970.3702556746,262450.35086317576,211470.8221047861,226025.6082545064,330668.32387144613,,,1819961.5080814217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,交通費および宿泊費,86.377,,86.377,0,,,,,,
原価,53874,71177,18528.874679180055,18079.572914762273,30820.969792060823,25496.942113425255,34428.92880079383,46417.8318409647,51442.22659470946,74581.59870894314,118669.03786803148,88852.20903437147,113802.35944987819,133925.2694458437,,,755045.8212429642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,人材採用 ,,,0,0,,,,,,
粗利,87480,98123,58997.26463977596,41932.316409530176,68705.75293325848,51840.91951644469,52367.97187003997,61783.15054495463,84533.31008193248,69388.77154673147,143781.31299514428,122618.61307041462,112223.24880462821,196743.05442560243,,,1064915.6868384574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,会計士、税理士、監査法人、社労士,,,0,0,,,,,,
人件費,15709,15650,16316.8834573036,16313.956418950896,15926.098979999999,15602.73374,14058.4696,13189.53472,12268.2119,13976.7925,13657.382300000001,12612.334,12601.174599999986,11792.041999999985,20908,,168315.61421625444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,家賃系,,,0,0,,,,,,
その他販管費,46146,80757,22678.859999999997,18290.135000000002,28536.973,23157.646999999997,27311.877,31419.553000000004,46235.839,37369.958,55799.497,55968.09,72107.16500000001,108288.557,40661,,527164.1510000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,広告宣伝費,,,0,0,,,,,,
管理部門コスト,14266,23281,7845.812630643488,9734.531757550054,9449.417614125216,10295.877193045593,13882.135113092238,12170.655089009168,12169.712843096166,13608.35898818872,12025.189404156656,11533.889188025245,15707.71993572095,10844.080972271968,16910,,139267.38072892546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,業務委託費,,,0,0,,,,,,
エンジニアコスト,7134,7694,7557.022695258915,5751.555977978831,5978.05982120578,5768.565624800383,5702.1528684688,4862.634708509212,5915.047867758052,5087.770235119976,5001.198963382672,5607.960467762071,4966.6327184041775,3750.647632592447,3321,,65949.24958124131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,社内会食,27.799,,27.799,1,,,,,,
営業利益,4225,-29260,4598.685856569962,-8157.862744949603,8815.203517927479,-2983.904041401285,-8586.662711521072,140.77302743625114,7944.498471078259,-654.1081765772105,57298.04532760495,36896.339414627306,6840.556550503097,62067.726820738026,,,164219.29131203602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,銀行関係（振込手数料）,,,0,0,,,,,,
粗利率,0.6,0.738,0.7609983569161228,0.6987334823427435,0.6903246791605643,0.6703174670712947,0.6033391914377085,0.5710036007306597,0.6216802827037764,0.4819656393430474,0.5478419538105412,0.5798370283426418,0.4965067881966014,0.5949860939873097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,その他,,,0,0,,,,,,
