(千円),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,GROVEには韓国案件が含まれている,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
ALL,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,差額分,,"累計
（1月 - 7月）",,,,,,,,7,July,,,,,,,,
"人数(正社員=1, Intern&Part Time=0.3)",413,412,410.1940599999991,425.4701899999992,445.9038099999992,465.73859666666596,474.6398899999989,482.41533333333285,481.6458333333325,283.344133333333,274.979919999999,277.452606666666,283.94057,269.058443333333,,,,,,,,,,,,ENGAWA,65788.8683808401,34304.8611724404,0.04213718002957351,597.078198022259,0.5214386873757373,-32292.6492109949,-562.055526280799,-0.4908527841527609
前月比_売上,1.097,1.25,0.652755809917205,1.0815682335671755,1.1955596288382981,0.8010133174818159,1.0321153642615244,1.339210617884832,0.8214307717168393,0.6806464190019827,0,0,0,0,,,,,,,,,,,,LYFT,189298.271,110083.926,0.13521775193629976,2641.52712639789,0.5815368804926908,33041.474,792.849174612202,0.1745471515690706
前月比_粗利,1.13,1.213,0.6689436655001031,1.023671402838318,1.2394127271719155,0.9097329852625818,1.012966097661673,1.203549405158639,0.7985565124052363,0.6937270286888558,0,0,0,0,,,,,,,,,,,,AnyReach,14230.4582631286,13511.767350847,0.016596708277535666,791.679450481509,0.9494962917572555,-11046.9062912667,-647.258680163889,-0.7762860539698467
前月比_人件費,1.018,1.257,1.0453558676407333,1.0586618884956698,0.9486788413355762,1.0707055904171598,0.9769985592037623,1.014659182342088,1.0072663972968658,0.5337575187232388,0.49148414463486106,0,0,0,,,,,,,,,,,,,,,,,,,,
前月比_その他販管費,1.156,1.183,0.7630954909614032,0.9634416320430771,1.0633418814916151,0.95365813940718,1.0617553627874352,1.0682841059952681,0.9245767078131092,0.5913296301584586,0.16019473411331892,0,0,0,,,,,,,,,,,,Check,-,-,,,,-,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCM,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,差額分,,"累計
（1月 - 7月）",,,,,,,,7,Jan - July,,,,,,,,
売上高,515283,529943,331817.7862752799,415906.87222890387,544751.2975518598,422961.346353464,471562.3607869489,517257.595421866,531782.8277359194,522420.2762905611,435738.9656659724,0,0,0,,,3236040.086354242,,,,,,,,(千円）,,売上高,粗利,粗利構成比,1人当たり粗利益,粗利率,営業利益,1人当たり営業利益,営利率
原価,273556,245452,157299.6248128902,240423.1959168355,307682.89345719025,186910.48248947135,236304.44173690907,288073.6503408788,291529.0155833484,264016.4591049234,182303.66799608144,0,0,0,,,1708223.3043375236,,,,,,,,ALL,,13091606.02822829,5902262.54867077,,,,660799.7181009768,,0.05047506903860014
粗利,241727,284491,174518.1614623897,175483.67631206836,237068.4040946695,236050.86386399265,235257.9190500398,229183.94508098718,240253.812152571,258403.81718563766,253435.29766989095,0,0,0,,,1527816.7820167183,,,,,,,,,BM,2736059.804622409,1239445.450020782,0.20999497053886795,2018.2659340969578,0.45300378592851415,370461.7870916977,677.9766859006075,0.13539974033675167
人件費,45844,43962,48830.22699999982,56347.30940000001,53017.229049999936,62354.50111962554,55890.95756049128,68402.95206309506,63889.45131354078,65229.37169999984,62546.31819999985,0,0,0,-4513.500749554269,,408732.62750675244,,,,,,,,,PM,123763.083,61905.13,0.010488372804415735,875.2140058037749,0.5001905939915863,14183.940667782037,200.5232506097544,0.11460558612443451
その他販管費,28982,49373,43832.418000000005,26295.688000000006,44540.40733333333,31405.850363636368,39391.166999999994,40579.71400000001,80244.62599999999,68281.89899999999,32846.029999999984,0,0,0,39664.91199999999,,306289.8706969697,,,,,,,,,BC,376217.1987318328,226466.2019959364,0.038369388031872315,3083.4684154552997,0.6019560050931144,29872.307389361522,475.43365881194245,0.07940175911695752
管理部門コスト,45030,69869,26163.475051656525,34284.16671374668,35289.56911884006,41802.31778515799,56080.96632903702,49244.45058035275,63799.25600315295,69263.4087547531,49119.386482186164,0,0,0,14554.8054228002,,306664.20158194395,,,,,,,,,PG Web,2868190.4704060773,788904.2054057816,0.13366132036661912,2635.391996962408,0.27505293443572765,284327.63882074354,942.8472630559185,0.09913136584004079
エンジニアコスト,9667,8700,11423.761658301391,10843.843562020977,11261.787530002266,12882.885847804357,12980.470165506154,13762.020339968672,18457.277978607337,17674.132588194334,11739.522078006265,0,0,0,4695.257638638666,,91612.04708221115,,,,,,,,,PG App,719355.511,471966.494,0.07996365632807882,4491.586781844468,0.6560963067397699,-3229.7454821727006,39.25459168833779,-0.004489776519099609
営業利益,112204,112587,44268.27975243196,47712.66863630069,92959.41106249389,87605.30874776837,70914.35799500538,57194.8080975707,13863.200857269927,37955.00514269041,97184.0409096987,0,0,0,,,414518.0351488411,,,,,,,,,CG,1246601.4624924406,325754.13779722166,0.05519140077402754,7463.490233106056,0.2613137779783385,212466.8053203416,5146.22059465537,0.17043683303205656
粗利率,0.469115029993227,0.5368332065901427,0.5259457710853613,0.4219302157034013,0.43518648814618166,0.5580908655107402,0.49889036660482955,0.4430750695774102,0.45178933884619493,0.4946282311636732,0.5816218370155326,0,0,0,,,0.4721254191068978,,,,,,,,,D2C Creator,810303.864,445528.513,0.07548436033235019,2401.147306799704,0.5498289379994861,-155426.4704745813,-739.6434404052242,-0.1918125747387295
営業利益率,0.21775218666247478,0.21245115040674187,0.1334114130811134,0.11471959667461548,0.17064559823952372,0.20712367572841422,0.15038171807576553,0.11057316239295363,0.026069290195572695,0.07265224353884094,0.22303270665997263,0,0,0,,,0.12809422135924206,,,,,,,,,GEC,269158.834,193694.484,0.03281698880772787,1614.7201090848203,0.7196289310719782,-28101.5760142215,-235.2910904707229,-0.10440517814927636
1人当たり粗利益,2778.4712643678163,3427.602409638554,1979.6281143698716,1811.616474440726,2235.300196535659,2033.5954294854487,2111.906849146796,2067.264011082076,1871.2906751195812,1979.8967632841775,1998.0410598582846,0,0,0,,,,,,,,,,,,DX / AI,312975.519,242506.298,0.04108700621164575,1826.9445152262879,0.7748411082593333,-10273.274562965671,-230.71480527005076,-0.032824530799693864
1人当たり営業利益,1289.7011494252874,1356.4698795180723,502.15250056705963,492.56465534343954,876.5073127790289,754.7261321219805,636.5971396722442,515.9033646928106,107.97780172180877,290.8122358674808,766.1825558073962,0,0,0,,,,,,,,,,,,GROVE,2045673.220167303,970907.0677372928,0.16449743801314765,1986.4309194892312,0.47461493759882545,67614.30286438379,199.96893721863384,0.03305234785194775
