Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Total,0,0.1,0.2,0.3,-436,-436.1,0.4,0.5,-218,-1357.05,-1209,0.6,-3656.05
AJP,Cross Border SG&A (Manual),SG&A,PG,Other outsourced services,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Recruitment,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Rental expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Research and development,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Staff costs,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Telephone & Internet,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Transportation & Accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,PG,Royalty Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Accounting and professional fee,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Advertising and marketing events,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Client Gifts and Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Depreciation and Amortization,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Depreciation - Lease,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Interest Expense - Lease,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Finance costs,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,General expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Insurance expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,IT expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Other outsourced services,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Recruitment,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Rental expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Research and development,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Staff costs,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Telephone & Internet,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Transportation & Accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,POKKT,Royalty Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Accounting and professional fee,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Advertising and marketing events,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Client Gifts and Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Depreciation and Amortization,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Depreciation - Lease,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Interest Expense - Lease,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Finance costs,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,General expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Insurance expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,IT expenses,0,0,0,0,-436,-436,0,0,-218,-1357.05,-1209,0,-3656.05
AJP,Cross Border SG&A (Manual),SG&A,D2C,Other outsourced services,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Recruitment,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Rental expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Research and development,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Staff costs,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Telephone & Internet,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Transportation & Accommodation,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,D2C,Royalty Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Accounting and professional fee,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Advertising and marketing events,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Client Gifts and Entertainment,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Depreciation and Amortization,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Depreciation - Lease,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Interest Expense - Lease,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Finance costs,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,General expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Insurance expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,IT expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Other outsourced services,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Recruitment,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Rental expenses,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Research and development,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Staff costs,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,Cross Border SG&A (Manual),SG&A,Corporate,Telephone & Internet,0,0,0,0,0,0,0,0,0,0,0,0,0
