(千円),Unnamed: 1,Unnamed: 2,Done,PMとGROVEには韓国案件が含まれていないため、ピュアなJP業績になります,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
売上高,515283,529943,330317.7862752799,410525.87222890387,539051.2975518598,419661.346353464,464429.3607869489,513255.213421866,527504.5277359195,522420.2762905611,435738.9656659724,0,0,0,,,
原価,273556,245452,156879.6248128902,239265.1959168355,305923.89345719025,185604.48248947135,233901.07773690906,286258.0673408788,289648.47058334836,264016.4591049234,182303.66799608144,0,0,0,,,
粗利,241727,284491,173438.1614623897,171260.67631206836,233127.4040946695,234056.86386399265,230528.2830500398,226997.14608098718,237856.0571525711,258403.81718563766,253435.29766989095,0,0,0,,,173438.1614623897
人件費,45844,43962,48830.22699999982,56347.30940000001,53017.229049999936,62354.50111962554,55890.95756049128,68402.95206309506,63889.45131354078,65229.37169999984,62546.31819999985,0,0,0,63889.451313540805,,
その他販管費,28982,49373,43832.418000000005,26295.688000000006,44540.40733333333,31405.850363636368,39391.166999999994,40579.71400000001,80244.62599999999,68281.89899999999,32846.029999999984,0,0,0,80244.62599999999,,
管理部門コスト,45030,69869,26163.475051656525,34284.16671374668,35289.56911884006,41802.31778515799,56080.96632903702,49244.45058035275,63799.25600315295,69263.4087547531,49119.386482186164,0,0,0,63799.256003152805,,
エンジニアコスト,9667,8700,11423.761658301391,10843.843562020977,11261.787530002266,12882.885847804357,12980.470165506154,13762.020339968672,18457.277978607337,17674.132588194334,11739.522078006265,0,0,0,18457.27797860735,,
営業利益,112204,112587,43188.27975243196,43489.66863630069,89018.41106249389,85611.30874776837,66184.72199500538,55008.0090975707,11465.445857270039,37955.00514269041,97184.0409096987,0,0,0,,,43188.27975243196
粗利率,0.469115029993227,0.5368332065901427,0.5250645550096112,0.4171738930416927,0.43247721534747136,0.5577279534981425,0.49636888300822085,0.442269537931432,0.45090808636934987,0.4946282311636732,0.5816218370155326,0,0,0,,,
営業利益率,0.21775218666247478,0.21245115040674187,0.13074766648030198,0.10593648678018378,0.16513903494301452,0.20400093907067005,0.14250761812917936,0.10717476931375523,0.021735255821367844,0.07265224353884094,0.22303270665997263,0,0,0,,,
1人当たり粗利益,2778.4712643678163,3427.602409638554,1967.3772497858997,1768.0200754345979,2198.1408032028,2016.416973876278,2069.4489769412417,2047.5388472161133,1852.6150231808233,1979.8967632841775,1998.0410598582846,0,0,0,,,
1人当たり営業利益,1289.7011494252874,1356.4698795180723,489.90163598308783,448.9682563373113,839.3479194461697,737.5476765128099,594.1392674666898,496.1782008268479,89.30214978305085,290.8122358674808,766.1825558073962,0,0,0,,,
"人数(正社員=1, Intern&Part Time=0.3)",87,83,88.15704333333332,96.86579846666656,106.0566292,116.0756266666667,111.395973333333,110.8634136,128.38936,130.5137833333326,126.8418866666666,134.35374666666598,137.3909366666663,129.085993333333,,,
前月比_売上,,1.0284503855163085,0.6233081412062804,1.242820972064702,1.3130750922594514,0.7785183863936256,1.1066765257808102,1.1051308482137834,1.0277626294705386,0.9903616913637115,0.8340774381115751,0,0,0,,,
前月比_粗利,,1.1769103161831322,0.6096437548547746,0.9874451785468591,1.3612430425643574,1.0039869176810536,0.9849242583374814,0.9846824132712334,1.0478372140754126,1.0863873734352132,0.9807722673377641,0,0,0,,,
前月比_人件費,,0.9589477357996684,1.1107371593649018,1.1539432204564648,0.9409008098974097,1.1761176930016415,0.8963419890613172,1.223864378939329,0.9340159947279613,1.0209724822941948,0.958867402366839,0,0,0,,,
前月比_販管費(人件費以外),,1.703574632530536,0.8877811354383977,0.5999141548613631,1.693829320355996,0.7051091861059998,1.2542620735915344,1.0301729319164374,1.977456667141616,0.8509217676458484,0.48103568414229353,0,0,0,,,
,,,,,,,,,,,,,,,,,
BM,11月,12月,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,4月（見込み）,,"累計
（1月）"
売上高,441716,448927,264012.49095632386,358106.98290461145,456745.32182654046,357588.11472359404,413673.2551161151,478990.9660359467,391528.9910592775,378449.90603488643,435738.9656659724,0,0,0,244767.886,,
原価,242013,219882,122612.49413371012,215377.49300207326,268827.96766512946,162392.8873760461,209971.30693611523,273126.46949991415,238206.24398863892,189434.86039598027,182303.66799608144,0,0,0,124460.06,,
粗利,199703,229045,141399.99682261376,142729.4899025382,187917.354161411,195195.22734754795,203701.94817999986,205864.49653603253,153322.74707063858,189015.04563890616,253435.29766989095,0,0,0,120307.826,,141399.99682261376
人件費,38220,36126,37362.792199999836,45254.07849000001,42895.98651999993,50895.90079962554,51121.530450491286,64989.74726309505,51621.23941354078,51252.57919999985,62546.31819999985,0,0,0,51621.2394135408,,
