Month,2025-12-01 00:00:00,,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
Key Financials,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
i. P&L -Current Month/YTD,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,,OP,,YTD GP,,YTD OP,,,,,,,,,,,,,,,,,,,,
5942099.0913548665,,2372349.9107494396,,49496073.625990264,,9697619.25011953,,,,,,,,,,,,,,,,,,,,
-17011.60284091998,-0.0028547217385119887,1230546.878182799,1.077722552038308,-7611553.856607579,-0.1332843648412292,-3014966.279308893,-0.2371638933975731,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ii. Profits by Dept.,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Month (USD'000),,,,,,,,,,,,,,,,,,,,,,,,,,
Dept.,,Budget,Actual,GP Ach.%,"Var. vs, Bud.",Bud. GP %,Act. GP %,Outperfomed,Underperformed,Overall GP%,,,,,,,,,,,,,,,,
Year 2025-Local,,8547494.373639867,8900950.611963704,9717149.420677695,8236188.181667769,8341773.581335612,10927899.81985955,9038764.409582332,8707464.451450568,13306605.705251858,8534679.270024288,8526805.597804647,13885160.491015546,,,,,,,,,,,,,
Year 2024-Local,,7243765.80999993,8004993.30313702,10103750.9399547,7968750.04127199,7677084.35293866,7737725.16000994,7419863.3242265,8651551.25780494,9767560.54093272,9221255.96367208,10272216.484441,11408085.8691691,,,,,,,,,,,,,
Revenue - Local - 2025 - MoM%,,-0.25075122402962613,0.041352029363585396,0.09169793702898921,-0.1524069636984794,0.012819692476533806,0.3100211499758627,-0.17287268747138806,-0.03665323523429165,0.5281837530826925,-0.35861334895826835,-0.0009225504521647165,0.6284129304637234,,,,,,,,,,,,,
Revenue - Local - 2024 - MoM%,,,0.10508725890699355,0.26218106091296955,-0.21130775207848518,-0.03660118422873426,0.007898937185452093,-0.041079494193747235,0.16599873606254612,0.12899528071581168,-0.05593050331976479,0.11397151590946697,0.11057685422114738,,,,,,,,,,,,,
Revenue - Local - YoY%,,0.17997939163634413,0.1119248042937866,-0.03826316796351459,0.03356086450329787,0.08658094633837377,0.4122884431637672,0.21818475821110872,0.006462794009939765,0.3623264119519025,-0.07445587633101369,-0.169915703127954,0.21713323779766247,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
GP,,,,,,,,,,,,,,,,,,,,,,,,,,
Group,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,,,,,,
Year 2025-Group,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
Year 2024-Group,,7596163,8301350,10253862,9214611,9123612,10247497,9998367,10234361,11985784,10538059,12067875,14141417,,,,,,,,,,,,,
GP - Group - 2025 - MoM%,,-1,,,,,,,,,,,,,,,,,,,,,,,,
GP - Group - 2024 - MoM%,,,0.09283463243218981,0.23520415354129143,-0.10135215394940955,-0.009875511836582196,0.12318421695267179,-0.024311302555150793,0.023603254411445285,0.17113164173122297,-0.12078684214566193,0.1451705669896135,0.17182329117595274,,,,,,,,,,,,,
GP - Group - YoY%,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Local,,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,,,,,,,,,,,,
