True,Unnamed: 1,Unnamed: 2,Unnamed: 3,Finalized?,True.1,True.2,True.3,True.4,True.5,True.6,True.7,True.8,True.9,True.10,True.11,True.12,Unnamed: 17
,,,,,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD,YTD SUM
Group (Budget),Data Source,CoA,Department / Account,Items,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,YTD
AJP,MGM,Revenue,POKKT,Mobile Marketing : Web Performance : Agency (Net),0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,POKKT,Mobile Marketing : Brand Business : Direct,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,POKKT,Mobile Marketing : Brand Business : Agency (Net),0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,D2C,D2C : Creator (AnyFactory),98583421.41181764,110439016.24052183,144182386.12559274,122264245.749827,90554065.61895801,165699919.21706685,78710596.3931268,98647618.30576369,167203343.8099671,118265936.18077521,131055438.38044004,192091364.33393988,1517697351.7677968
AJP,MGM,Revenue,D2C,"D2C : Enterprise (AnyX, AnyLogi and others)",181957036.90713832,121595686.08377065,23785063.599726584,117910788.88004293,137017970.05187577,139962031.1688525,236227555.2835151,206599174.9499109,345271112.0532087,248798617.92401087,274708345.8740664,387749326.5375062,2421582709.313625
AJP,MGM,Revenue,D2C,D2C : B2B,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,D2C,D2C : B2C,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,New Business,New Business : Items,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Revenue,Others,Others,0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Gross Profit,DM,Digital Marketing : Direct,1274764.0838248415,393901.80403899716,410166.10775339283,-241881.69627326095,317355.5771101206,1434350.9529248879,1249224.0467675175,-1609692.0168583037,961797.3119529951,-391591.17906656506,-1519085.8884399887,1708036.7809109786,3987345.8846456134
AJP,MGM,Gross Profit,DM,Digital Marketing : Agency (Net),0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Gross Profit,IM,Influencer Marketing : Direct,151272346.82261378,157902138.9025382,200528370.161411,208206342.34754795,203701948.17999986,205864496.53603244,153322747.0706386,189015045.63890615,253435297.669891,155956086.80995822,127310803.17871454,234836697.29718316,2241352320.615435
AJP,MGM,Gross Profit,IM,Influencer Marketing : Agency (Net),0,0,0,0,0,0,0,0,0,0,0,0,0
AJP,MGM,Gross Profit,CG,Creator Growth : AdSense Non-BGM,15140712.05930261,20602761.769541346,15733097.771199532,21081558.21388224,21729821.791583374,18795524.640645336,8036049.818072389,1626888.5765881746,2348177.945361827,1889867.4374155302,-1030503.747463587,2628993.2580669895,128582949.53419575
AJP,MGM,Gross Profit,CG,Creator Growth : AdSense BGM,35139784.80179601,24129411.18817706,4776951.203539433,5970642.325510407,1547681.265668009,-3064108.4192546164,6780653.952350378,3086740.5557478634,4648304.813416932,-710484.4336517592,-793872.0758481825,0,81511705.17745154
AJP,MGM,Gross Profit,CG,Creator Growth : Sponsorship,0,0,0,0,0,0,0,0,0,0,0,0,0
