投稿日,アカウント名,PR/通常,sns,担当者,タイトル,URL,種別,更新日,動画尺,再生数,いいね,コメント,共有,保存,いいね率,コメント率,共有率,保存率,平均 視聴時間,視聴 維持率,1秒継続率,3秒継続率,6秒継続率,フル視聴率,新規 フォロー,フォロー率,おすすめ率
2025-12-19 00:00:00,kana,通常,TikTok,Ryusei,part5 | my japanese sister wants to introduce her daily makeup but she cant speak english #jbeauty #japan #makeup #cosmetics #fyp,https://www.tiktok.com/@__kanachan__/video/7585254592972098846,単品,2026-01-22 09:06:45,42.0,236700.0,20800.0,187.0,629.0,1204.0,0.08787494719,0.0007900295733,0.002657372201,0.00508660752,,0,,,,,,0,
2025-12-17 00:00:00,韓国オンニ,通常,YT,Hina,ニキビヤバい子これ塗って！ルセラのチェウォンちゃんもガチ愛用の神コスメ #コスメ #美容 #スキンケア #おすすめ #購入品紹介,https://youtube.com/shorts/uf8e_BrqL6M?si=es5gHQ9mXZMjBc1w,単品,2026-01-22 09:14:48,22.0,234950.0,3716.0,40.0,,,0.01581613109,0.0001702489891,0,0,,0,,,,,,0,
2025-12-02 00:00:00,ももそら,通常,TikTok,Hina,SNSで大バズりして最近PLAZAとかでも超見るけど実際どうなの？皆はこのレチノールクリーム使った事ある！？💬 #アドバンスドクリニカルズ #レチノール #クリーム #保湿 #バズり,https://www.tiktok.com/@cosme_daisuki.kaigi/video/7579213992342654226?is_from_webapp=1&sender_device=pc&web_id=7547609595666515474,単品,2026-01-22 09:08:20,44.0,184200.0,907.0,30.0,23.0,296.0,0.004923995657,0.0001628664495,0.000124864278,0.001606948969,10.4,0.2363636364,71.0,38.0,30.0,20.32,27.0,0.0001465798046,62.0
2025-12-24 00:00:00,kana,通常,IG,Ryusei,pov : my Japanese sister wants to introduce her daily makeup but she can’t speak English  #jbeauty #japan #beauty #cosmetics #dailymakeup #kbeauty #makeups,https://www.instagram.com/reel/DSoZfBQCfjB/?igsh=Y2tsYTZ2NTJjeXA5,単品,2026-01-07 16:34:56,39.939,167532.0,22220.0,43.0,,,0.1326313779,0.0002566673829,0,0,,0,,,,,,0,
2025-12-02 00:00:00,美容探偵,通常,IG,Moeka,スキンケアもコスメも雑貨もいいものを選びたい！宇宙一わかりやすい美容検証のプロ、美容探偵ちゃんです💄🔍🤎 ⁡ 今回はピーラーで何回分削れる！？【LUSH🐝🧼みつばちマーチ】を検証します💄🔍 参考になったら嬉しいです☺️🤎✨ ⁡ 美容探偵ちゃんでは『コメント欄』と『DM』を解放しています!! 紹介した商品で気になった事や、紹介してほしい商品がある方はぜひ『コメント欄』や『DMに』✍🏻 ⁡ この投稿が参考になったらあとで見返せるように『保存』をお願いします🤎 『いいね』を押していただけるととても励みになります！ ⁡ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ ⁡ #美容 #スキンケア #コスメ #コスメ紹介 #コスメレビュー #コスメ購入品 #検証シリーズ #検証動画 #検証 #正直レビュー #ボディケア #コスパ検証 #LUSH #ラッシュ #石鹸 #みつばちマーチ,https://www.instagram.com/reel/DRwVlXpk4rc/?igsh=ZG5rMDB2NWxkeDlz,単品,2026-01-07 16:36:16,34.9,154707.0,987.0,11.0,,,0.006379801819,7.110214793e-05,0,0,10.4,0.2979942693,71.0,38.0,30.0,20.32,27.0,0.000174523454,62.0
2025-12-11 00:00:00,美容探偵,通常,TikTok,Moeka,2025年ベスコス✨デパコス編！みんなのおすすめも教えて💞 #ベスコス #デパコス #ディオール #ハイライト #アイシャドウ,https://www.tiktok.com/@tantei_cosme/video/7581363295676796181?is_from_webapp=1&sender_device=pc&web_id=7545398181158110727,単品,2026-01-22 09:08:13,27.0,203200.0,2269.0,22.0,24.0,707.0,0.01116633858,0.0001082677165,0.0001181102362,0.003479330709,10.4,0.3851851852,71.0,38.0,30.0,20.32,27.0,0.0001328740157,62.0
2025-12-03 00:00:00,kana,通常,YT,Ryusei,I love her “uun” face at the last #jbeauty #perfume #japan #korean #makeup #cosmetics,https://youtube.com/shorts/Xov3mX4vh7c?si=xBhGgFlSYZCX2k9x,単品,2026-01-22 09:15:57,30.0,161346.0,5781.0,87.0,,,0.03582983154,0.0005392138634,0,0,,0,,,,,,0,
2025-12-13 00:00:00,モテコスメちゃん,通常,YT,Maya,【保存必須】セリアで簡単！コスメ持ち歩きに便利すぎる美容パッキング術 #shorts #コスメ #美容 #スキンケア #モテる,https://youtube.com/shorts/b9_w2FkJ_gg?si=x2w5AOG3Klxyy1ky,単品,2026-01-22 09:16:07,48.0,152394.0,2228.0,1.0,,,0.01461999816,6.561938134e-06,0,0,10.4,0.2166666667,71.0,38.0,30.0,20.32,27.0,0.0001771723296,62.0
2025-12-12 00:00:00,モテコスメちゃん,通常,TikTok,Maya,これから旅行行く人は見なきゃ損！🥲💦美容オタクによる、セリアの便利グッズを使ったパッキング術を紹介！荷物が劇的に減るからぜひ参考にしてね🪄 #パッキング #コスメ #旅行 #セリア #便利グッズ,https://www.tiktok.com/@mote_cosme/video/7582882916380790032?is_from_webapp=1&sender_device=pc&web_id=7550509021708797447,単品,2026-01-23 09:06:54,47.0,250400.0,7378.0,19.0,138.0,3812.0,0.02946485623,7.587859425e-05,0.0005511182109,0.01522364217,,0,,,,,,0,
2025-12-27 00:00:00,kana,通常,IG,Ryusei,part 2 | pov : my sister wants to introduce japanese famous snacks but she cant speak english  #jbeauty #japan #sister #japanese #fyp,https://www.instagram.com/reel/DS2iDcHkheU/?igsh=MWVxNmk3engzNGNmcw==,単品,2026-01-07 16:35:11,29.433,133334.0,15424.0,116.0,,,0.1156794216,0.00086999565,0,0,,0,,,,,,0,
