,,,,,,,,,,,,,,,,,,,,,,
,1月売上,,10013672,進捗率,目標,,,1月営業利益,,8971441,,,,,,,請求書支払日：Greed、NEL、CCPR、リアレーション、PPP 2ヶ月後,,,,,
2401.0,,,,,,,,二次利用費,100000.0,,True,True,True,True,,,,美容探偵,,,,
2401.0,1/25【木】,美容探偵,プレシャスGREEN,Dr.ルルルン株式会社,〒150-0002 東京都渋谷区渋谷2-12-4 ネクストサイト渋谷ビル11階,,1月発生2月払い,投稿制作費,200000.0,クロスセル,True,True,True,True,,,,美容探偵,,,,
2401.0,,,,,,,,二次利用費,100000.0,,True,True,True,True,,,,美容探偵,,,,
2401.0,1/26【金】,美容探偵,OVER45カメリアピンク,Dr.ルルルン株式会社,〒150-0002 東京都渋谷区渋谷2-12-4 ネクストサイト渋谷ビル11階,,1月発生2月払い,投稿制作費,200000.0,クロスセル,True,True,True,True,,,,美容探偵,,,,
2401.0,,,,,,,,二次利用費,100000.0,,True,True,True,True,,,,美容探偵,,,,
2401.0,12月分,美容探偵,skin1004,株式会社メディアエイド,〒150-6016 東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワー16階,,1月発生2月払い,二次利用費,50000.0,リピート,True,True,True,True,セット割,,,美容探偵,,,,
2401.0,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,,,,,,,
2401.0,1/17【水】,ドンキ出待ち,ルルルン ピュアエブリーズ,株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,1月発生2月払い,投稿制作費,150000.0,リピート,True,True,True,True,,,,ドンキ出待ち,142095.0,,,
2401.0,1/19【金】,ドンキ出待ち,ザ・ダーマ,株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,1月発生2月払い,投稿制作費,200000.0,リピート,True,True,True,True,,,,ドンキ出待ち,,,,
2401.0,1/19【金】,ドンキ出待ち,ザ・ダーマ,株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,1月発生2月払い,二次利用費,50000.0,リピート,True,True,True,True,セット割,,,ドンキ出待ち,,,,
2401.0,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,,,,,,,
2401.0,1/23【火】,肌コミちゃん,ダーマレーザー4種,株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,1月発生2月払い,投稿制作費,200000.0,クロスセル,True,True,True,True,,,,肌コミちゃん,12508.0,,,
2401.0,1/23【火】,肌コミちゃん,ダーマレーザー4種,株式会社OMOT,〒113-0033 東京都文京区本郷1-33-13春日町ビル６F,,1月発生2月払い,二次利用費,50000.0,クロスセル,True,True,True,True,セット割,,,肌コミちゃん,,,,
2401.0,1/26【金】,肌コミちゃん,カルテHD,株式会社Leading Communication,〒150-0043 東京都渋谷区道玄坂1-16-10 渋谷DTビル6F,,1月発生2月払い,投稿制作費,200000.0,リピート,True,True,True,True,,,,肌コミちゃん,,,,
