,,,,,,,,,,,,,,,,,,,
,売上,,粗利,,,,,"入力
お願いします
⬇️","入力
お願いします
⬇️",,,,,,,,,,
,"¥42,191,500",,"¥34,470,500",,,,,,,,,,,,,,,,
,AJP売上,,粗利率,81.70%,,,,,,,,,,,,,,,
,NDSK売上,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,担当者,クライアント,案件名,アカウント名,区分,税区分,摘要,HS URL,CAM ID,売上,費用,支払費用60%,広告費,広告費FIX,粗利,ステータス,備考,rev,cost
,Kobayashi Toi,AnyMind,iHerb,モテコスメちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435924383/,CAM0076794,"¥600,000",¥0,¥0,"¥640,000",TRUE,"-¥40,000",投稿完了,"¥3,000,000","¥3,000,000",
,Kobayashi Toi,AnyMind,iHerb,突撃ちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435924383/,CAM0076794,"¥600,000",¥0,¥0,"¥600,000",TRUE,¥0,投稿完了,,,
,Kobayashi Toi,AnyMind,iHerb,韓国オンニ,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435924383/,CAM0076794,"¥600,000",¥0,¥0,¥0,TRUE,"¥600,000",投稿完了,,,
,Kobayashi Toi,AnyMind,iHerb,ももそら,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435924383/,CAM0076794,"¥600,000",¥0,¥0,¥0,TRUE,"¥600,000",投稿完了,,,
,Kobayashi Toi,AnyMind,iHerb,成分オタクちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50435924383/,CAM0076794,"¥600,000",¥0,¥0,¥0,TRUE,"¥600,000",投稿完了,,,
,Nagoshi Yuto,AnyMind,レノア,,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/39810822543/,CAM0071132,"¥4,200,000",¥0,¥0,"¥364,000",TRUE,"¥3,836,000",投稿完了,(６投稿)モテコス2/突撃/ももそら2/ビビ＋IG,,
,Toda Rikako,AnyMind,LUNA,モテコスメちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/49624649235,CAM0076520,"¥570,000",¥0,¥0,"¥310,000",TRUE,"¥260,000",投稿完了,"¥1,060,000","¥5,140,000",
,Toda Rikako,AnyMind,LUNA,突撃ちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/49624649235,CAM0076520,"¥320,000",¥0,¥0,¥0,TRUE,"¥320,000",投稿完了,,,
,Toda Rikako,AnyMind,LUNA,韓国オンニ,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/49624649235,CAM0076520,"¥360,000",¥0,¥0,¥0,TRUE,"¥360,000",投稿完了,,,
,Toda Rikako,AnyMind,LUNA,肌コミちゃん,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/49624649235,CAM0076520,"¥300,000","¥300,000","¥180,000",¥0,TRUE,"¥120,000",投稿完了,,,
,Toda Rikako,AnyMind,Torriden,ももそら,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/50566143604,CAM0076909,"¥720,000",¥0,¥0,"¥144,000",TRUE,"¥576,000",投稿完了,,,
,Toda Rikako,AnyMind,TFIT,美容探偵,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/46599390222,CAM0076509,"¥570,000",¥0,¥0,"¥548,000",TRUE,"¥22,000",投稿完了,"¥2,870,000",,
,Toda Rikako,AnyMind,TFIT,突撃ちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/46599390222,CAM0076509,"¥320,000",¥0,¥0,¥0,TRUE,"¥320,000",投稿完了,,,
,Toda Rikako,AnyMind,TFIT,コスメ怪獣ちゃん,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/46599390222,CAM0076509,"¥350,000","¥350,000","¥210,000",¥0,TRUE,"¥140,000",投稿完了,,,
,Toda Rikako,AnyMind,TFIT,語りたい倶楽部,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/46599390222,CAM0076509,"¥400,000","¥400,000","¥240,000",¥0,TRUE,"¥160,000",投稿完了,,,
,Toda Rikako,AnyMind,TFIT,韓国オンニ,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/46599390222,CAM0076509,"¥360,000",¥0,¥0,¥0,TRUE,"¥360,000",投稿完了,,,
,Toda Rikako,AnyMind,TFIT,肌コミちゃん,RCP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/46599390222,CAM0076509,"¥300,000","¥300,000","¥180,000",¥0,TRUE,"¥120,000",投稿完了,,,
,Toda Rikako,AnyMind,TFIT,モテコスメちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/46599390222,CAM0076509,"¥570,000",¥0,¥0,¥0,TRUE,"¥570,000",投稿完了,,,
,,,,,,,,,,,"¥4,550,000","¥2,730,000","¥4,991,000",,,,,,
