,,,,,,,,,,,
,売上,7140000,進捗率,目標,▲支出,2975028,,3メディア売上,①Tik+Insta+Yts,②RC経由,請求（①-②）
2410.0,肌コミちゃん,TIAM,STORiiY株式会社,10月発生11月払い,投稿制作費,250000.0,請求書送付済,,吉谷,,
2410.0,肌コミちゃん,ニキパ,LC,10月発生11月払い,投稿制作費,250000.0,請求書送付済,,吉谷,,
2410.0,肌コミちゃん,アクアレーベル(9月分),トレンダーズ,10月発生11月払い,投稿制作費,100000.0,請求書送付済,,吉谷,,
2410.0,肌コミちゃん,ダーマレーザー,OMOT,10月発生11月払い,投稿制作費,300000.0,請求書送付済,SAあり,吉谷,,
2410.0,肌コミちゃん,ザリポ,OMOT,10月発生11月払い,投稿制作費,350000.0,請求書送付済,SAあり、店舗撮影あり,吉谷,,
2410.0,肌コミちゃん,,,,,,,,,,
2410.0,肌コミちゃん,,,,,,,,,,
2410.0,肌コミちゃん,,,,,,,,,,
2410.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2410.0,備忘録ちゃん,YOLU,株式会社CCPR,10月発生12月払い,投稿制作費,200000.0,請求書送付済,,吉谷,,
2410.0,,,,,二次利用費,100000.0,,,,,
2410.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2410.0,韓国オンニ,TIAM,STORiiY株式会社,10月発生11月払い,投稿制作費,200000.0,請求書送付済,,吉谷,,
2410.0,韓国オンニ,oddtype,OMOT,10月発生11月払い,投稿制作費,200000.0,請求書送付済,,吉谷,,
2410.0,,,,,二次利用費,100000.0,,,,,
2410.0,韓国オンニ,ニキパ,LC,10月発生11月払い,投稿制作費,200000.0,請求書送付済,,吉谷,,
2410.0,韓国オンニ,アイゾーンダブルリバイタライザー,株式会社クラフツ,10月発生11月払い,投稿制作費,400000.0,請求書送付済,webオール,吉谷,,
2410.0,韓国オンニ,RISM,OMOT,10月発生11月払い,投稿制作費,350000.0,請求書送付済,1月末までSAあり,吉谷,,
2410.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2410.0,成分オタクちゃん,【ダーマレーザー ウルセラエクソソーム+グルタチオン美容液（スギ薬局限定販売）】OMOT,OMOT,10月発生11月払い,投稿制作費,300000.0,請求書送付済,SAあり,吉谷,,
2410.0,成分オタクちゃん,,,,,,,,,,
2410.0,成分オタクちゃん,,,,,,,,,,
2410.0,Instagramタイアップ,,,,,,,,,,
2410.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2410.0,,,,,,,,,,,
2410.0,,,,,,,,,,,
2410.0,,,,,,,,,,,
2410.0,,,,,,,,,,,
2410.0,,,,,,,,,,,
2410.0,,,,,,,,,,,
2410.0,,,,,,,,,,,
2410.0,,,,,,,,,,,
2410.0,YouTubeタイアップ,,,,,,,,,,
2410.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2410.0,モテコスメちゃん,TEABLESS,株式会社A-trust,10月発生12月払い,YTS,100000.0,請求書送付済,,吉谷,,
2410.0,ビビちゃん,TEABLESS,株式会社A-trust,10月発生12月払い,YTS,100000.0,請求書送付済,,吉谷,,
2410.0,肌コミちゃん,coconeシャンプー,ナハト,10月発生11月払い,YTS,120000.0,請求書送付済,"追加修正費用20,000",吉谷,,
2410.0,肌コミちゃん,TEABLESS,株式会社A-trust,10月発生12月払い,YTS,70000.0,請求書送付済,,吉谷,,
2410.0,おとちゃん,TEABLESS,株式会社A-trust,10月発生12月払い,YTS,70000.0,請求書送付済,,吉谷,,
,,,,,,,,,,,
