,,,,,,,,0.5872113573,,,,
2503.0,False,モテコスメちゃん,レブロン,トレンダーズ,2月発生3月払い,投稿制作費,50000.0,請求書送付済,IG、YTS(二次利用),NADESIKO,吉谷,True
2503.0,True,モテコスメちゃん,ナンバーズイン,Benow,3月発生4月払い,投稿制作費,100000.0,請求書送付済,二次利用あり,NADESIKO,吉谷,True
2503.0,False,肌コミちゃん,すっぽん小町,cogu,3月発生4月払い,二次利用費,120000.0,請求書送付済,３月延長費,,,True
2503.0,False,,,,,,,,,,,False
2503.0,False,,,,,,,,,,,False
2503.0,,YouTubeタイアップ,,,,,,,,YouTubeタイアップ,,
2503.0,,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2503.0,False,肌コミちゃん,N organic basic(エッセンスミルク、ローション、VCエッセンス),FOR YOU,3月発生4月払い,投稿制作費,100000.0,請求書送付済,,NADESIKO,上原,True
,,,,,,,,,,,,
,,,,,,,,,,,,
