hhuhyhubhub,目標,"¥25,281,250",,51.26%,,,,"ご記入お願いいたします！🙇‍♂️
　　　　　⬇️⬇️⬇️",,,,,,,,,,
,売上,,粗利,,,,,,,,,,,,,,,
,"¥13,950,000",,"¥12,960,000",,,,,,,,,,,,,"¥120,427",,
,,,粗利率,92.90%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,担当者,クライアント,案件名,アカウント名,区分,税区分,摘要,HS URL,CAM ID,売上,費用,支払費用60%,広告費,広告費FIX,粗利,ステータス,備考,
,Song Rie,AnyMind,Lowlize,成分オタクちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/54247064969,CAM0080275 ,"¥1,170,000",¥0,¥0,¥0,FALSE,"¥1,170,000",進行中,再生保証,
,Song Rie,AnyMind,Lowlize,ビビちゃん,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/54247064969,CAM0080275 ,"¥850,000",¥0,¥0,¥0,FALSE,"¥850,000",進行中,再生保証,
,Toda Rikako,AnyMind,RealBarrier,突撃ちゃん,AJP,課税,TT投稿費用,,,"¥320,000",¥0,¥0,¥0,TRUE,"¥320,000",進行中,IG、YTsあり,
,Toda Rikako,AnyMind,RealBarrier,韓国オンニ,AJP,課税,TT投稿費用,,,"¥360,000",¥0,¥0,¥0,TRUE,"¥360,000",進行中,IG、YTsあり,
,Toda Rikako,AnyMind,RealBarrier,肌コミちゃん,RCP,課税,TT投稿費用,,,"¥300,000","¥300,000","¥180,000",¥0,TRUE,"¥120,000",進行中,IG、YTsあり,
,Toda Rikako,AnyMind,KUNDAL,韓国オンニ,AJP,課税,TT投稿費用,,,"¥350,000",¥0,¥0,¥0,FALSE,"¥350,000",進行中,,
,Toda Rikako,AnyMind,KUNDAL,美容探偵,AJP,課税,TT投稿費用,,,"¥430,000",¥0,¥0,¥0,FALSE,"¥430,000",進行中,,
,Ryuji Nagano,AnyMind,KAHI_KOREA TECH,肌コミちゃん,RCP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/53305264248,CAM0080102,"¥300,000","¥300,000","¥180,000",¥0,FALSE,"¥120,000",進行中,,
,Kaito Kurahara,AnyMind,iHerb,,AJP,非課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/54610038950,CAM0080430,"¥3,000,000",¥0,¥0,¥0,FALSE,"¥3,000,000",投稿完了,5名起用,
,Kusuda Sumika,AnyMind,MSH,,AJP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/49134071929,CAM0075909,"¥1,500,000",¥0,¥0,¥0,FALSE,"¥1,500,000",投稿完了,モテコス・探偵・オンニ、投稿＋再生保証（約70万リーチ）,
,Kusuda Sumika,AnyMind,シュミテクト,,AJP,課税,SparAds二次利用費,,,"¥1,000,000",¥0,¥0,¥0,FALSE,"¥1,000,000",進行中,二次利用,
,Kusuda Sumika,YOAKASHI,espoir,突撃ちゃん,AJP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/52276112208,CAM0078594,"¥250,000",¥0,¥0,¥0,TRUE,"¥250,000",投稿完了,,
,Kusuda Sumika,株式会社 生活総合サービス,すっぽん小町,肌コミちゃん,RCP,課税,SparAds二次利用費,https://app.hubspot.com/contacts/6727898/record/0-3/54319894166?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3D%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%20%E7%94%9F%E6%B4%BB%E7%B7%8F%E5%90%88%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9,,"¥150,000","¥150,000","¥90,000",¥0,TRUE,"¥60,000",投稿完了,1月発生、2月末お支払い　合計金額15万円＋税,
,Kusuda Sumika,AnyMind,Hale,突撃ちゃん,AJP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/54331302569?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3DHale,,"¥200,000",¥0,¥0,¥0,FALSE,"¥200,000",進行中,5万再生保証あり,est送付済み
,Kusuda Sumika,OMOT,ダーマレーザー,ももそら,AJP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/54329285994?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3DOMOT,,"¥550,000",¥0,¥0,¥0,TRUE,"¥550,000",進行中,合計145,
,Kusuda Sumika,OMOT,ダーマレーザー,成分オタクちゃん,AJP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/54329285994?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3DOMOT,,"¥500,000",¥0,¥0,¥0,TRUE,"¥500,000",投稿完了,,
,Kusuda Sumika,OMOT,ダーマレーザー,語りたい倶楽部,RCP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/54329285994?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3DOMOT,,"¥200,000","¥200,000","¥120,000",¥0,TRUE,"¥80,000",進行中,,
,Kusuda Sumika,OMOT,ダーマレーザー,コスメ怪獣ちゃん,RCP,課税,TT投稿費用,https://app.hubspot.com/contacts/6727898/record/0-3/54329285994?eschref=%2Fsearch%2F6727898%2Fsearch%3Fquery%3DOMOT,,"¥200,000","¥200,000","¥120,000",¥0,TRUE,"¥80,000",進行中,,
,,,,,,,,,,,"¥1,650,000",,,,,,,
,イベント参加2万,,,,,,,,,,,,,,,,,
