,,,,,,,,,,,,,,,,,,,,
,NADESIKO売上,,5760000,進捗率,目標,,,NADESIKO売上,,売上総利益,,営業利益,,,,,,,,
2406.0,6/26【水】,韓国オンニ,skin1004,株式会社メディアエイド,〒150-6016 東京都渋谷区恵比寿4-20-3 恵比寿ガーデンプレイスタワー16階,,6月発生7月払い,投稿制作費,200000.0,リピート,True,True,True,True,SA込み、税なし,韓国,,,,
2406.0,6/28【金】,韓国オンニ,MOTON,株式会社gracemode,〒153-0042 東京都目黒区青葉台1-13-6 ザ・ワークス・クロス 3階,,6月発生7月払い,投稿制作費,120000.0,新規,True,True,True,True,,韓国,,,,
2406.0,6/30【日】,韓国オンニ,espoir,株式会社TWIN PLANET,〒150-0001 東京都渋谷区神宮前5-46-1,,6月発生7月払い,投稿制作費,150000.0,新規,True,True,True,True,"二次利用：65,000",韓国,,,,
2406.0,Instaタイアップ,,,,,,,,,,,,,,,,,,,
2406.0,投稿日,アカウント名,案件名,取引先,取引先住所,件名,発行月支払月,摘要,単価,経路,投稿済み,金額チェック,請求書依頼,請求書送付,備考,,,,,
2406.0,6/17【月】,ビビちゃん,ルルルンONE,株式会社チェックレイズ,〒150-0042 東京都渋谷区宇田川町12-3-902,,6月発生8月払い,IGフィード,50000.0,リピート,True,True,True,True,,,,,,
2406.0,6/25【火】,ビビちゃん,ウェットブラシ,株式会社BitStar,〒150-0002 東京都渋谷区渋谷2-22-3 渋谷東口ビル 10F,,6月発生7月払い,IGリール,300000.0,リピート,True,True,True,True,IGリール＋二次利用１ヶ月,,,,,
2406.0,6/27【木】,モテコスメちゃん,ピンタレスト,PPP STUDIO株式会社,〒150-0043 東京都渋谷区道玄坂2-25-12　道玄坂通 6階,,6月発生7月払い,IGストーリー,40000.0,リピート,True,True,True,True,２投稿,,,,,
,,,,,,,,,,,False,False,False,False,,,,,,
,,,,,,,,,,,False,False,False,False,,,,,,
,,,,,,,,,,,,,,,,,,,,
,代理店比率,,案件投稿数,比率,ランキング,比率,案件数,シェア率,,,,,,,,,,,,
,株式会社ウィングリット,,1,0.04761904762,株式会社メディアエイド,,3.0,0.14285714285714285,,,,,税別確認,,,,,,,
,,,0,0,株式会社チェックレイズ,,3.0,0.14285714285714285,,,,,,,,,,,,
,株式会社YON,,0,0,株式会社ブーケ,,2.0,0.09523809523809523,,,,,,,,,,,,
,取引先,,0,0,"Aiden Lab Co.,Ltd.",,2.0,0.09523809523809523,,,,,,,,,,,,
,株式会社ブーケ,,2,0.09523809524,株式会社OMOT,,2.0,0.09523809523809523,,,,,,,,,,,,
,JammyWorks（ジャミーワークス）,,1,0.04761904762,株式会社POTEGAR Japan,,2.0,0.09523809523809523,,,,,,,,,,,,
,株式会社メディアエイド,,3,0.1428571429,株式会社ウィングリット,,1.0,0.047619047619047616,,,,,,,,,,,,
,株式会社bibin,,1,0.04761904762,JammyWorks（ジャミーワークス）,,1.0,0.047619047619047616,,,,,,,,,,,,
,株式会社チェックレイズ,,3,0.1428571429,株式会社bibin,,1.0,0.047619047619047616,,,,,,,,,,,,
,"Aiden Lab Co.,Ltd.",,2,0.09523809524,株式会社monopo tokyo,,1.0,0.047619047619047616,,,,,,,,,,,,
,株式会社monopo tokyo,,1,0.04761904762,株式会社ナハト,,1.0,0.047619047619047616,,,,,,,,,,,,
,株式会社OMOT,,2,0.09523809524,株式会社ノードメイソン,,1.0,0.047619047619047616,,,,,,,,,,,,
,株式会社ナハト,,1,0.04761904762,株式会社gracemode,,1.0,0.047619047619047616,,,,,,,,,,,,
,株式会社POTEGAR Japan,,2,0.09523809524,株式会社TWIN PLANET,,1.0,0.047619047619047616,,,,,,,,,,,,
,株式会社ノードメイソン,,1,0.04761904762,,,0.0,0.0,,,,,,,,,,,,
,株式会社gracemode,,1,0.04761904762,株式会社YON,,0.0,0.0,,,,,,,,,,,,
,株式会社TWIN PLANET,,1,0.04761904762,取引先,,0.0,0.0,,,,,,,,,,,,
,,,0,0,,,0.0,0.0,,,,,,,,,,,,
,,,0,0,,,0.0,0.0,,,,,,,,,,,,
,,,0,0,,,0.0,0.0,,,,,,,,,,,,
