,,,,,,,,,,,
,売上,19828663,進捗率,目標,▲支出,3603243,,3メディア売上,①Tik+Insta+Yts,②RC経由,請求（①-②）
2505.0,美容探偵,tfit,直クラ,5月発生6月払い,投稿制作費,450000.0,請求書送付済,SA＋リール,NADESIKO,吉谷,
2505.0,美容探偵,プロカリテ,デジタルガレージ,4月発生5月払い,投稿制作費,134000.0,投稿完了,,ライスカレー,吉谷,
2505.0,美容探偵,ROUND LAB,bibin,5月発生6月払い,投稿制作費,240000.0,請求書送付済,税込,NADESIKO,五十嵐,
2505.0,美容探偵,skin1004,直,5月発生6月払い,投稿制作費,800000.0,請求書送付済,税込3投稿目済,NADESIKO,吉谷,
2505.0,美容探偵,ヌーディーステディクッションファンデ,aidenlab,5月発生6月払い,投稿制作費,250000.0,請求書送付済,,NADESIKO,吉谷,
2505.0,美容探偵,トゥヴェール,3WELL,5月発生6月払い,投稿制作費,350000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2505.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2505.0,突撃ちゃん,,,,,,,,NADESIKO,,
2505.0,突撃ちゃん,,,,,,,,,上原,
2505.0,突撃ちゃん,,,,,,,,,,
2505.0,突撃ちゃん,,,,,,,,,,
2505.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2505.0,肌コミちゃん,サミュ,サミュ,5月発生6月払い,投稿制作費,450000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2505.0,肌コミちゃん,Anua,直クラ,5月発生6月払い,投稿制作費,325000.0,請求書送付済,SAあり,NADESIKO,上原,
2505.0,肌コミちゃん,ポアクリアオイル,istyle me,5月発生6月払い,投稿制作費,450000.0,請求書送付済,SAあり,NADESIKO,上原,
2505.0,肌コミちゃん,CVITAS+ 美容液,,,投稿制作費,500000.0,請求書送付済,,NADESIKO,齊藤,
2505.0,肌コミちゃん,ROUND LAB,bibin,5月発生6月払い,投稿制作費,240000.0,請求書送付済,税込,NADESIKO,五十嵐,
2505.0,肌コミちゃん,SKIN1004②,直クラ,5月発生6月払い,投稿制作費,500000.0,投稿完了,３投稿(25/25/25),NADESIKO,吉谷,6月にまとめて請求
2505.0,肌コミちゃん,EYELASH SERUM N2,studio15,5月発生6月払い,投稿制作費,330000.0,請求書送付済,追加修正,NADESIKO,吉谷,
2505.0,肌コミちゃん,グロー,,,二次利用費,120000.0,投稿完了,,,,請求情報✅
2505.0,肌コミちゃん,,,,,,,,,,
2505.0,肌コミちゃん,,,,,,,,,,
2505.0,肌コミちゃん,,,,,,,,,,
2505.0,肌コミちゃん,,,,,,,,,,
2505.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2505.0,コスメ怪獣ちゃん,plu（プル）,plu（プル）,5月発生6月払い,投稿制作費,300000.0,請求書送付済,IGあり,NADESIKO,吉谷,
2505.0,コスメ怪獣ちゃん,tfit,直クラ,5月発生6月払い,投稿制作費,425000.0,請求書送付済,SA+リール,NADESIKO,吉谷,
2505.0,コスメ怪獣ちゃん,CNP,Greed,5月発生6月払い,投稿制作費,250000.0,請求書送付済,,NADESIKO,上原,
2505.0,コスメ怪獣ちゃん,REJURAN,meteorA,,投稿制作費,375000.0,請求書送付済,SAあり,NADESIKO,五十嵐,請求情報メール
2505.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2505.0,韓国オンニ,b.clinicx,greed,5月発生6月払い,投稿制作費,300000.0,請求書送付済,,NADESIKO,上原,
2505.0,韓国オンニ,Anua,直クラ,5月発生6月払い,投稿制作費,325000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2505.0,韓国オンニ,アイロ ホワイタチオン,aiden lab,5月発生6月払い,投稿制作費,450000.0,請求書送付済,2媒体sa15万円,NADESIKO,五十嵐,
2505.0,韓国オンニ,SKIN1004,直クラ,5月発生6月払い,投稿制作費,600000.0,投稿完了,３投稿(30/30/25),NADESIKO,吉谷,6月にまとめて請求
2505.0,韓国オンニ,ROUND LAB,bibin,5月発生6月払い,投稿制作費,240000.0,請求書送付済,税込,NADESIKO,五十嵐,
2505.0,韓国オンニ,サボリーノ,anyglo,5月発生6月払い,投稿制作費,400000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2505.0,韓国オンニ,,,,,,,,,,
2505.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2505.0,成分オタクちゃん,サミュ,サミュ,5月発生6月払い,投稿制作費,450000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2505.0,成分オタクちゃん,SKIN＆LAB,直,5月発生6月払い,投稿制作費,350000.0,請求書送付済,,NADESIKO,吉谷,請求の際、メール確認
2505.0,成分オタクちゃん,Anua,直クラ,5月発生6月払い,投稿制作費,380000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2505.0,成分オタクちゃん,ROUND LAB,bibin,5月発生6月払い,投稿制作費,280000.0,請求書送付済,税込,NADESIKO,五十嵐,
2505.0,成分オタクちゃん,CNP,Greed,5月発生6月払い,投稿制作費,350000.0,請求書送付済,,NADESIKO,上原,
2505.0,成分オタクちゃん,ハリロジー,直クラ,5月発生6月払い,投稿制作費,250000.0,請求書送付済,再生課金,NADESIKO,齊藤,
2505.0,成分オタクちゃん,トゥヴェール,3WELL,,投稿制作費,525000.0,請求書送付済,SAあり,NADESIKO,吉谷,
2505.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2505.0,女子会ズ,トリデン,iHack,5月発生6月払い,投稿制作費,450000.0,請求書送付済,SAあり,NADESIKO,上原,
2505.0,女子会ズ,SHISEIDO アルティミューン™,ジョイナー,5月発生6月払い,投稿制作費,700000.0,請求書送付済,1ヶ月の短尺動画配信・2ヶ月の第三者配信で30万円,NADESIKO,吉谷,
2505.0,女子会ズ,CVITAS+ クリーム,,5月発生6月払い,投稿制作費,500000.0,請求書送付済,,NADESIKO,齊藤,
2505.0,女子会ズ,ルルルン,YON,5月発生6月払い,投稿制作費,450000.0,請求書送付済,,NADESIKO,上原,
2505.0,女子会ズ,SKIN1004②,直クラ,5月発生6月払い,投稿制作費,700000.0,投稿完了,３投稿(35/35/35)リールあり,NADESIKO,吉谷,6月にまとめて請求
2505.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2505.0,語りたい倶楽部,ダーマレーザー,OMOT,,投稿制作費,250000.0,請求書送付済,,,,
2505.0,Instaタイアップ,,,,,,,,,,
2505.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2505.0,モテコスメちゃん,白玉タチオン（JMB/SBC湘南美容クリニック）,CCPR,5月発生6月払い,IGリール,150000.0,請求書送付済,二次利用あり,NADESIKO,上原,
2505.0,ビビちゃん,melt,ウィングリット,5月発生6月払い,IGリール,100000.0,請求書送付済,,NADESIKO,上原,
2505.0,肌コミちゃん,ウテナ モイスチャー ふきとり化粧水,ハーマンドット,5月発生6月払い,IGリール,100000.0,請求書送付済,,NADESIKO,吉谷,
2505.0,ビビちゃん,パフュームヘア・ボディーケア ホワイトムスクの香り 4点,直,5月発生6月払い,IGリール,100000.0,請求書送付済,,NADESIKO,吉谷,
2505.0,モテコスメちゃん,ロート,NEL,5月発生6月払い,IGフィード,75000.0,請求書送付済,,NADESIKO,吉谷,
2505.0,ビビちゃん,花王(暮らし系),REECH,5月発生6月払い,IGフィード,75000.0,請求書送付済,二次利用3ヶ月,NADESIKO,吉谷,
2505.0,YouTubeタイアップ,,,,,,,,,,
2505.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2505.0,肌コミちゃん,N organic,株式会社LiG STAR.,5月発生6月払い,YTS,300000.0,請求書送付済,,NADESIKO,上原,
,,,,,,,,,,,
,,,,,,,,,,,
