,,,,,,,,,,,
,売上,17267265,進捗率,目標,▲支出,4663078,,3メディア売上,①Tik+Insta+Yts,②RC経由,請求（①-②）
2508.0,突撃ちゃん,ダーマレーザー,OMOT,,投稿制作費,300000.0,請求書送付済,SparkAds(1ヶ月)含む,,,
2508.0,突撃ちゃん,【REJURAN】YMS,,,投稿制作費,350000.0,請求書送付済,SparkAds(1ヶ月)含む,,,
2508.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2508.0,肌コミちゃん,ANUA8月,直,,投稿制作費,400000.0,請求書送付済,SparkAds(1ヶ月)含む,NADESIKO,,
2508.0,肌コミちゃん,セラティス,Natee,,投稿制作費,250000.0,請求書送付済,,,吉谷,
2508.0,肌コミちゃん,センテリアン24,YOAKASHI,,投稿制作費,280000.0,請求書送付済,店頭撮影費含む,,,
2508.0,肌コミちゃん,ルルルン,YON,,投稿制作費,250000.0,請求書送付済,,,,
2508.0,肌コミちゃん,ヤーマン,ULTRA SOCIAL,,投稿制作費,100000.0,請求書送付済,TTshop成果報酬20%,NADESIKO,,請求についてメール確認
2508.0,肌コミちゃん,skin1004,直,,投稿制作費,600000.0,請求書送付済,2投稿分の費用,,,
2508.0,肌コミちゃん,ダーマファーム,ビジョンスリー,,投稿制作費,350000.0,請求書送付済,SparkAds(1ヶ月)含む,,,
2508.0,肌コミちゃん,【REJURAN】YMS,,,投稿制作費,420000.0,請求書送付済,SparkAds(1ヶ月)含む,,,
2508.0,肌コミちゃん,,,,,,,,,,
2508.0,肌コミちゃん,,,,,,,,,,
2508.0,肌コミちゃん,,,,,,,,,,
2508.0,肌コミちゃん,,,,,,,,,,
2508.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2508.0,コスメ怪獣ちゃん,WOSADO,直,,投稿制作費,150000.0,請求書送付済,,,,
2508.0,コスメ怪獣ちゃん,リデンス,F＆Lコーポレーション,,投稿制作費,200000.0,請求書送付済,,,,
2508.0,コスメ怪獣ちゃん,ファンケル,スパイスボックス,,投稿制作費,200000.0,請求書送付済,,,,
2508.0,コスメ怪獣ちゃん,skin1004,直,,投稿制作費,700000.0,請求書送付済,2投稿分+IG 掲載費用含む,,,
2508.0,コスメ怪獣ちゃん,ダーマレーザー,OMOT,,投稿制作費,300000.0,請求書送付済,SparkAds(1ヶ月)含む,,,
2508.0,コスメ怪獣ちゃん,ダーマファーム,YMS,,投稿制作費,375000.0,請求書送付済,,,,
2508.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2508.0,韓国オンニ,リリーイブ,CarryOn,,投稿制作費,400000.0,請求書送付済,"・Spark Ads広告：１ヶ月：7.5万円
・META広告：１ヶ月：7.5万円
上記費用含む",NADESIKO,,
2508.0,韓国オンニ,ANUA8月,直,,投稿制作費,325000.0,請求書送付済,SparkAds(1ヶ月)含む,,吉谷,
2508.0,韓国オンニ,LAGOM,Natee,,投稿制作費,325000.0,請求書送付済,SparkAds(1ヶ月)含む,,,
2508.0,韓国オンニ,VT COSMETICS,直,,投稿制作費,225000.0,請求書送付済,,,,
2508.0,韓国オンニ,d’Alba,UUUM,,投稿制作費,250000.0,請求書送付済,,,,
2508.0,韓国オンニ,リデンス,F＆Lコーポレーション,,投稿制作費,200000.0,請求書送付済,,,,
2508.0,韓国オンニ,skin1004,直,,投稿制作費,600000.0,請求書送付済,2投稿分の費用,,,
2508.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2508.0,成分オタクちゃん,ANUA8月,直,,投稿制作費,387500.0,請求書送付済,SparkAds(1ヶ月)含む,NADESIKO,,
2508.0,成分オタクちゃん,ユンス,VAZ,,投稿制作費,430000.0,請求書送付済,,NADESIKO,吉谷,
2508.0,成分オタクちゃん,d’Alba,UUUM,,投稿制作費,300000.0,請求書送付済,,,,
2508.0,成分オタクちゃん,パーフェクトワンフォーカス,AnyMind,,投稿制作費,387500.0,請求書送付済,SparkAds(1ヶ月)含む,,,
2508.0,成分オタクちゃん,ダーマファーム,YMS,,投稿制作費,525000.0,請求書送付済,SparkAds(1ヶ月)含む,,,
2508.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2508.0,女子会ズ,エッセンシャル,ウィングリット,,投稿制作費,450000.0,請求書送付済,,NADESIKO,,
2508.0,女子会ズ,メディキューブ,APR,,投稿制作費,400000.0,請求書送付済,SparkAds(1ヶ月)含む,NADESIKO,,
2508.0,女子会ズ,Dr.VT,直クラ,,投稿制作費,475000.0,請求書送付済,SparkAds(1ヶ月)含む,,,
2508.0,女子会ズ,BnD,直,,投稿制作費,200000.0,請求書送付済,TTshop成果報酬20%,,,
2508.0,女子会ズ,リアルバリア,JDTC,,投稿制作費,400000.0,請求書送付済,,,,"【お振込先情報】

・受取人取引銀行名 （アルファベット）受取人取引銀行名＋金融機関コード

・SWIFTコード（BICコード）

・支店名 （アルファベット）

・店番号（数字）

・支店住所 （アルファベット）

・口座番号 （数字）

・受取人名 （アルファベット）

・受取人住所 （アルファベット）

・受取人電話番号"
2508.0,女子会ズ,ダーマレーザー,OMOT,,投稿制作費,400000.0,請求書送付済,SparkAds(1ヶ月)含む,,,
2508.0,,,,,,,,,,,
2508.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2508.0,語りたい倶楽部,ANUA8月,直,,投稿制作費,200000.0,請求書送付済,,NADESIKO,吉谷,
2508.0,語りたい倶楽部,VT COSMETICS,直,,投稿制作費,190000.0,請求書送付済,,,,
2508.0,語りたい倶楽部,WOSADO,直,,投稿制作費,150000.0,請求書送付済,,,,
2508.0,語りたい倶楽部,リデンス,F＆Lコーポレーション,,投稿制作費,200000.0,請求書送付済,,,,
2508.0,語りたい倶楽部,ByUR,OMOT,,投稿制作費,400000.0,請求書送付済,,,,
2508.0,語りたい倶楽部,ダーマレーザー,OMOT,,投稿制作費,400000.0,請求書送付済,SparkAds(1ヶ月)含む,,,
2508.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,受注,ディレ,
2508.0,ビビちゃん,リポピール,PPP,,IGリール,150000.0,請求書送付済,,,,
2508.0,モテコスメちゃん,リポピール,PPP,,IGリール,250000.0,請求書送付済,,,,
2508.0,モテコスメちゃん,skin1004,直,,IGリール,200000.0,請求書送付済,2投稿分の費用,,,
2508.0,モテコスメちゃん,Purelica,JFUN,,IGリール,250000.0,請求書送付済,,,,
2508.0,,,,,,,,,,,
2508.0,YouTubeタイアップ,,,,,,,,,,
2508.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2508.0,,,,,,,,,,,
2508.0,,,,,,,,,,,
2508.0,その他,,,,,,,,,,
2508.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,備考,,,
2508.0,女子会ズ,ライブ配信,マシュマロエンタメ,,LIVE配信,50000.0,請求書送付済,,,,
2508.0,女子会ズ,クリエイターリワードプログラム,TikTok Japan,,CRW報酬,17556.0,投稿完了,,,,
2508.0,モテコスメちゃん,クリエイターリワードプログラム,TikTok Japan,,CRW報酬,144709.0,投稿完了,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,212265,,,,,
