,,,,,,,,,,,
,売上,9515160,進捗率,目標,▲支出,4642022,,3メディア売上,①Tik+Insta+Yts,②RC経由,請求（①-②）
,キャスティング,,,,,,,,,,
2409.0,アカウント名,案件名,取引先,発行月支払月,摘要,単価,ステータス,発注,粗利,,
2409.0,はる,ムーンショット,ブイ,9月発生10月払い,投稿制作費,480000.0,請求書送付済,400000.0,80000,,
2409.0,まみちゃん,ムーンショット(8月),ブイ,9月発生10月払い,投稿制作費,60000.0,請求書送付済,50000.0,10000,,
2409.0,Kiki💛,ムーンショット,ブイ,9月発生10月払い,投稿制作費,300000.0,請求書送付済,250000.0,50000,,
2409.0,小町@コスメ,ムーンショット,ブイ,9月発生10月払い,投稿制作費,240000.0,請求書送付済,250000.0,-10000,,
2409.0,せよ,ムーンショット,ブイ,9月発生10月払い,二次利用費,230000.0,請求書送付済,230000.0,0,,
2409.0,SparkAds運用,ムーンショット,ブイ,9月発生10月払い,広告運用費,917000.0,請求書送付済,825300.0,91700,,
,,,,,,,,,,,
,"8月分：¥247,018",9月分：,669982.0,,,,,,,,
,,,,,,,,,,,
